clique,tamanho,participantes
1,23,P005;P007;P013;P015;P018;P041;P048;P056;P072;P077;P081;P087;P088;P092;P094;P098;P099;P103;P111;P116;P126;P131;P_TESTE
2,23,P005;P007;P013;P015;P041;P048;P056;P071;P072;P077;P081;P087;P088;P092;P094;P098;P099;P103;P111;P116;P126;P131;P_TESTE
3,22,P005;P007;P013;P015;P018;P025;P072;P077;P081;P087;P088;P091;P094;P098;P099;P103;P111;P116;P117;P126;P131;P_TESTE
4,22,P005;P007;P013;P015;P018;P025;P072;P077;P081;P087;P088;P092;P094;P098;P099;P103;P111;P116;P117;P126;P131;P_TESTE
5,22,P005;P007;P013;P015;P018;P025;P072;P081;P087;P088;P092;P094;P098;P099;P103;P106;P111;P116;P117;P126;P131;P_TESTE
6,22,P005;P007;P013;P015;P018;P041;P072;P077;P081;P087;P088;P091;P094;P098;P099;P103;P111;P116;P117;P126;P131;P_TESTE
7,22,P005;P007;P013;P015;P018;P041;P072;P077;P081;P087;P088;P092;P094;P098;P099;P103;P111;P116;P117;P126;P131;P_TESTE
8,22,P005;P007;P013;P015;P018;P041;P072;P081;P087;P088;P092;P094;P098;P099;P103;P106;P111;P116;P117;P126;P131;P_TESTE
9,22,P005;P007;P013;P015;P048;P049;P056;P071;P072;P077;P081;P087;P088;P092;P098;P099;P103;P111;P116;P126;P131;P_TESTE
10,21,P004;P005;P007;P013;P015;P018;P025;P081;P087;P092;P094;P098;P099;P103;P106;P111;P116;P117;P126;P131;P_TESTE
11,20,P005;P007;P013;P015;P018;P041;P066;P081;P087;P088;P094;P099;P103;P106;P111;P116;P117;P126;P131;P_TESTE
12,20,P005;P007;P013;P015;P018;P072;P077;P081;P087;P088;P092;P094;P099;P111;P116;P117;P126;P131;P133;P_TESTE
13,20,P007;P013;P015;P018;P041;P048;P056;P072;P077;P087;P088;P092;P098;P103;P111;P116;P121;P126;P131;P_TESTE
14,20,P007;P013;P015;P041;P048;P056;P071;P072;P077;P087;P088;P092;P098;P103;P111;P116;P121;P126;P131;P_TESTE
15,19,P004;P005;P007;P013;P015;P018;P066;P081;P087;P094;P099;P103;P106;P111;P116;P117;P126;P131;P_TESTE
16,19,P005;P007;P013;P015;P049;P071;P072;P077;P081;P087;P088;P092;P099;P111;P116;P126;P131;P133;P_TESTE
17,19,P005;P007;P013;P015;P071;P072;P077;P081;P087;P088;P092;P094;P099;P111;P116;P126;P131;P133;P_TESTE
18,13,P013;P022;P048;P071;P072;P081;P087;P092;P094;P099;P111;P126;P_TESTE
19,9,P004;P007;P013;P018;P059;P081;P103;P116;P131
20,8,P001;P007;P013;P015;P092;P111;P126;P_TESTE
21,7,P013;P043;P072;P092;P111;P116;P_TESTE
22,5,P013;P037;P048;P056;P126
23,5,P018;P048;P060;P121;P131
24,4,P002;P092;P103;P126
25,4,P044;P071;P126;P_TESTE
26,3,P004;P078;P099
27,3,P037;P048;P060
28,2,P041;P053
29,2,P084;P099
