comunidade,participante_id
1,P002
1,P004
1,P005
1,P007
1,P015
1,P018
1,P025
1,P059
1,P066
1,P078
1,P081
1,P084
1,P087
1,P091
1,P092
1,P094
1,P098
1,P099
1,P103
1,P106
1,P116
1,P117
1,P126
1,P131
1,P_TESTE
2,P022
2,P037
2,P041
2,P044
2,P048
2,P049
2,P053
2,P056
2,P060
2,P071
2,P072
2,P077
2,P088
2,P111
2,P121
2,P133
3,P001
3,P013
3,P043
4,P003
5,P006
6,P008
7,P009
8,P010
9,P011
10,P012
11,P014
12,P016
13,P017
14,P019
15,P020
16,P021
17,P023
18,P024
19,P026
20,P027
21,P028
22,P029
23,P030
24,P031
25,P032
26,P033
27,P034
28,P035
29,P036
30,P038
31,P039
32,P040
33,P042
34,P045
35,P046
36,P047
37,P050
38,P051
39,P052
40,P054
41,P055
42,P057
43,P058
44,P061
45,P062
46,P063
47,P064
48,P065
49,P067
50,P068
51,P069
52,P070
53,P073
54,P074
55,P075
56,P076
57,P079
58,P080
59,P082
60,P083
61,P085
62,P086
63,P089
64,P090
65,P093
66,P095
67,P096
68,P097
69,P100
70,P101
71,P102
72,P104
73,P105
74,P107
75,P108
76,P109
77,P110
78,P112
79,P113
80,P114
81,P115
82,P118
83,P119
84,P120
85,P122
86,P123
87,P124
88,P125
89,P127
90,P128
91,P129
92,P130
93,P132
94,P134
95,P135
