,P001,P002,P003,P004,P005,P006,P007,P008,P009,P010,P011,P012,P013,P014,P015,P016,P017,P018,P019,P020,P021,P022,P023,P024,P025,P026,P027,P028,P029,P030,P031,P032,P033,P034,P035,P036,P037,P038,P039,P040,P041,P042,P043,P044,P045,P046,P047,P048,P049,P050,P051,P052,P053,P054,P055,P056,P057,P058,P059,P060,P061,P062,P063,P064,P065,P066,P067,P068,P069,P070,P071,P072,P073,P074,P075,P076,P077,P078,P079,P080,P081,P082,P083,P084,P085,P086,P087,P088,P089,P090,P091,P092,P093,P094,P095,P096,P097,P098,P099,P100,P101,P102,P103,P104,P105,P106,P107,P108,P109,P110,P111,P112,P113,P114,P115,P116,P117,P118,P119,P120,P121,P122,P123,P124,P125,P126,P127,P128,P129,P130,P131,P132,P133,P134,P135,P_TESTE
P001,1.0,0.054924242424242424,0.05681818181818182,0.14962121212121213,0.07007575757575758,0.05303030303030303,0.23106060606060605,0.134469696969697,0.07954545454545454,0.026515151515151516,0.022727272727272728,0.02840909090909091,0.240530303030303,0.0,0.2556818181818182,0.032196969696969696,0.001893939393939394,0.17803030303030304,0.0,0.0625,0.0,0.13636363636363635,0.026515151515151516,0.05681818181818182,0.10606060606060606,0.0,0.0,0.04924242424242424,0.001893939393939394,0.05303030303030303,0.0,0.030303030303030304,0.030303030303030304,0.0625,0.07765151515151515,0.07954545454545454,0.11174242424242425,0.0,0.06060606060606061,0.032196969696969696,0.134469696969697,0.058712121212121215,0.14393939393939395,0.08143939393939394,0.06060606060606061,0.0,0.0625,0.1628787878787879,0.10984848484848485,0.026515151515151516,0.0,0.09090909090909091,0.16098484848484848,0.10606060606060606,0.10984848484848485,0.1856060606060606,0.022727272727272728,0.10984848484848485,0.05303030303030303,0.09090909090909091,0.003787878787878788,0.05303030303030303,0.030303030303030304,0.08901515151515152,0.001893939393939394,0.06060606060606061,0.02840909090909091,0.022727272727272728,0.058712121212121215,0.05303030303030303,0.1553030303030303,0.17613636363636365,0.032196969696969696,0.0,0.026515151515151516,0.026515151515151516,0.1534090909090909,0.06060606060606061,0.003787878787878788,0.11553030303030302,0.17234848484848483,0.0928030303030303,0.030303030303030304,0.05113636363636364,0.054924242424242424,0.10984848484848485,0.12310606060606062,0.13636363636363638,0.026515151515151516,0.030303030303030304,0.14015151515151517,0.23106060606060605,0.03598484848484849,0.17045454545454547,0.026515151515151516,0.04924242424242424,0.032196969696969696,0.1553030303030303,0.18371212121212122,0.032196969696969696,0.05303030303030303,0.03787878787878788,0.16666666666666666,0.10984848484848485,0.07954545454545454,0.003787878787878788,0.001893939393939394,0.05303030303030303,0.054924242424242424,0.026515151515151516,0.2689393939393939,0.030303030303030304,0.0,0.032196969696969696,0.07954545454545454,0.17613636363636365,0.13825757575757577,0.032196969696969696,0.032196969696969696,0.026515151515151516,0.1553030303030303,0.11553030303030302,0.07954545454545454,0.058712121212121215,0.0,0.23106060606060605,0.026515151515151516,0.0,0.0,0.022727272727272728,0.19128787878787878,0.005681818181818182,0.10037878787878787,0.07954545454545454,0.05681818181818182,0.2234848484848485
P002,0.054924242424242424,1.0,0.05303030303030303,0.19128787878787878,0.17234848484848486,0.054924242424242424,0.15151515151515152,0.0,0.07954545454545454,0.0,0.026515151515151516,0.05681818181818182,0.1950757575757576,0.05113636363636364,0.19696969696969696,0.0,0.0,0.1875,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.07575757575757576,0.005681818181818182,0.02840909090909091,0.0,0.0,0.05303030303030303,0.03409090909090909,0.0,0.022727272727272728,0.08333333333333333,0.0,0.043560606060606064,0.04924242424242424,0.0,0.030303030303030304,0.0,0.1571969696969697,0.08712121212121213,0.0,0.045454545454545456,0.0,0.026515151515151516,0.0,0.10795454545454546,0.08901515151515152,0.022727272727272728,0.0,0.022727272727272728,0.0,0.05113636363636364,0.0,0.10984848484848485,0.003787878787878788,0.0,0.10416666666666667,0.02462121212121212,0.0,0.0,0.022727272727272728,0.0,0.0,0.11174242424242423,0.0,0.0,0.06628787878787878,0.026515151515151516,0.09469696969696971,0.14204545454545456,0.032196969696969696,0.022727272727272728,0.0,0.0,0.10227272727272728,0.04166666666666667,0.022727272727272728,0.0,0.19318181818181818,0.04924242424242424,0.022727272727272728,0.08522727272727273,0.0,0.05113636363636364,0.10416666666666667,0.11931818181818182,0.026515151515151516,0.022727272727272728,0.043560606060606064,0.2765151515151515,0.08333333333333334,0.18181818181818182,0.026515151515151516,0.022727272727272728,0.0,0.178030303030303,0.19128787878787878,0.0,0.02462121212121212,0.0,0.21212121212121213,0.0,0.0625,0.13636363636363635,0.0,0.0,0.022727272727272728,0.01893939393939394,0.1818181818181818,0.022727272727272728,0.0,0.0,0.0,0.13825757575757575,0.18939393939393942,0.03409090909090909,0.0,0.01893939393939394,0.054924242424242424,0.0,0.08522727272727273,0.05303030303030303,0.0,0.20075757575757577,0.022727272727272728,0.05303030303030303,0.01893939393939394,0.01893939393939394,0.16666666666666666,0.022727272727272728,0.045454545454545456,0.054924242424242424,0.0,0.178030303030303
P003,0.05681818181818182,0.05303030303030303,1.0,0.06060606060606061,0.0,0.045454545454545456,0.026515151515151516,0.0,0.05681818181818182,0.0,0.022727272727272728,0.026515151515151516,0.03409090909090909,0.0,0.05681818181818182,0.0,0.0,0.05681818181818182,0.0,0.0,0.0,0.026515151515151516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026515151515151516,0.0,0.0,0.030303030303030304,0.06060606060606061,0.0,0.0,0.0,0.0,0.030303030303030304,0.0,0.0,0.05681818181818182,0.0,0.0,0.0,0.0,0.003787878787878788,0.0,0.0,0.026515151515151516,0.0,0.026515151515151516,0.0,0.05681818181818182,0.0,0.0,0.0,0.0,0.030303030303030304,0.0,0.0,0.0,0.030303030303030304,0.0,0.0,0.0,0.0,0.0,0.03598484848484849,0.026515151515151516,0.0,0.030303030303030304,0.03598484848484849,0.0,0.0,0.0,0.0,0.03409090909090909,0.0,0.0,0.05681818181818182,0.0,0.030303030303030304,0.04924242424242424,0.0,0.05303030303030303,0.0,0.0,0.026515151515151516,0.030303030303030304,0.0,0.04924242424242424,0.030303030303030304,0.026515151515151516,0.026515151515151516,0.030303030303030304,0.0,0.030303030303030304,0.05681818181818182,0.0,0.030303030303030304,0.0,0.03409090909090909,0.0,0.05681818181818182,0.0,0.0,0.0,0.026515151515151516,0.026515151515151516,0.05303030303030303,0.030303030303030304,0.0,0.0,0.0,0.026515151515151516,0.06060606060606061,0.030303030303030304,0.0,0.026515151515151516,0.0,0.0,0.05303030303030303,0.0,0.0,0.05681818181818182,0.026515151515151516,0.0,0.0,0.022727272727272728,0.026515151515151516,0.0,0.0,0.06060606060606061,0.0,0.05303030303030303
P004,0.14962121212121213,0.19128787878787878,0.06060606060606061,1.0,0.23674242424242425,0.04924242424242424,0.375,0.05303030303030303,0.10984848484848485,0.026515151515151516,0.022727272727272728,0.032196969696969696,0.4185606060606061,0.06818181818181818,0.42613636363636365,0.00946969696969697,0.001893939393939394,0.3901515151515152,0.0,0.02840909090909091,0.05681818181818182,0.1553030303030303,0.022727272727272728,0.030303030303030304,0.23106060606060605,0.013257575757575758,0.06818181818181818,0.022727272727272728,0.0,0.08333333333333333,0.03787878787878788,0.020833333333333336,0.030303030303030304,0.06628787878787878,0.05303030303030303,0.04924242424242424,0.13825757575757575,0.0625,0.06060606060606061,0.02840909090909091,0.14393939393939395,0.0625,0.08333333333333334,0.08333333333333334,0.030303030303030304,0.10984848484848485,0.032196969696969696,0.16287878787878787,0.11174242424242425,0.026515151515151516,0.08143939393939394,0.07575757575757576,0.03409090909090909,0.10227272727272728,0.08522727272727273,0.13257575757575757,0.022727272727272728,0.058712121212121215,0.21590909090909088,0.13636363636363635,0.0,0.026515151515151516,0.030303030303030304,0.08333333333333334,0.022727272727272728,0.20643939393939395,0.030303030303030304,0.022727272727272728,0.08901515151515152,0.04924242424242424,0.1553030303030303,0.1628787878787879,0.03598484848484849,0.003787878787878788,0.022727272727272728,0.0,0.1534090909090909,0.20643939393939395,0.03409090909090909,0.05681818181818182,0.44696969696969696,0.11553030303030302,0.030303030303030304,0.13068181818181818,0.045454545454545456,0.10227272727272728,0.36742424242424243,0.14393939393939395,0.026515151515151516,0.030303030303030304,0.13257575757575757,0.4090909090909091,0.06439393939393939,0.3768939393939394,0.026515151515151516,0.04924242424242424,0.030303030303030304,0.3484848484848485,0.41287878787878785,0.032196969696969696,0.05303030303030303,0.0625,0.38257575757575757,0.06439393939393939,0.08333333333333333,0.2727272727272727,0.001893939393939394,0.030303030303030304,0.05113636363636364,0.026515151515151516,0.26325757575757575,0.03409090909090909,0.047348484848484855,0.03598484848484849,0.05113636363636364,0.356060606060606,0.3049242424242425,0.032196969696969696,0.06060606060606061,0.026515151515151516,0.13257575757575757,0.058712121212121215,0.10984848484848485,0.08901515151515152,0.030303030303030304,0.40909090909090917,0.026515151515151516,0.02840909090909091,0.01893939393939394,0.022727272727272728,0.35416666666666674,0.022727272727272728,0.17234848484848483,0.08333333333333333,0.026515151515151516,0.3446969696969697
P005,0.07007575757575758,0.17234848484848486,0.0,0.23674242424242425,1.0,0.0,0.2727272727272727,0.08143939393939394,0.0,0.026515151515151516,0.0,0.0,0.3541666666666667,0.08522727272727273,0.34848484848484845,0.0,0.001893939393939394,0.2954545454545455,0.0,0.08333333333333333,0.045454545454545456,0.13825757575757575,0.0,0.02840909090909091,0.25946969696969696,0.0,0.026515151515151516,0.04924242424242424,0.05681818181818182,0.05681818181818182,0.08143939393939394,0.05113636363636364,0.0,0.0,0.10606060606060606,0.1268939393939394,0.16287878787878787,0.03409090909090909,0.0,0.05303030303030303,0.24242424242424243,0.0,0.17613636363636365,0.1534090909090909,0.032196969696969696,0.09659090909090909,0.07954545454545454,0.2026515151515151,0.22916666666666666,0.0,0.10984848484848485,0.03409090909090909,0.08143939393939395,0.026515151515151516,0.08712121212121213,0.2215909090909091,0.0,0.03598484848484849,0.10984848484848485,0.10606060606060606,0.026515151515151516,0.05303030303030303,0.0,0.03409090909090909,0.0,0.20265151515151517,0.0,0.022727272727272728,0.0,0.026515151515151516,0.2443181818181818,0.32007575757575757,0.0,0.030303030303030304,0.026515151515151516,0.0,0.20265151515151517,0.045454545454545456,0.09280303030303032,0.07575757575757576,0.3238636363636364,0.11363636363636363,0.0,0.0,0.02840909090909091,0.05303030303030303,0.2897727272727273,0.26704545454545453,0.0,0.0,0.2215909090909091,0.36363636363636365,0.05303030303030303,0.3371212121212121,0.0,0.0,0.05303030303030303,0.30303030303030304,0.3352272727272727,0.05303030303030303,0.0,0.026515151515151516,0.25946969696969696,0.12121212121212122,0.0,0.2897727272727273,0.001893939393939394,0.032196969696969696,0.045454545454545456,0.0,0.28030303030303033,0.0,0.06439393939393939,0.022727272727272728,0.02462121212121212,0.3787878787878788,0.30113636363636365,0.0,0.0,0.0,0.17992424242424243,0.08712121212121213,0.0,0.10606060606060606,0.022727272727272728,0.3787878787878788,0.0,0.05303030303030303,0.030303030303030304,0.0,0.29924242424242425,0.09090909090909091,0.22916666666666669,0.0,0.058712121212121215,0.3503787878787879
P006,0.05303030303030303,0.054924242424242424,0.045454545454545456,0.04924242424242424,0.0,1.0,0.02462121212121212,0.0,0.047348484848484855,0.0,0.022727272727272728,0.02840909090909091,0.026515151515151516,0.0,0.05113636363636364,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.026515151515151516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026515151515151516,0.0,0.0,0.022727272727272728,0.05113636363636364,0.0,0.0,0.0,0.0,0.026515151515151516,0.0,0.0,0.054924242424242424,0.0,0.0,0.0,0.0,0.001893939393939394,0.0,0.0,0.022727272727272728,0.0,0.022727272727272728,0.0,0.045454545454545456,0.0,0.0,0.001893939393939394,0.0,0.022727272727272728,0.0,0.0,0.0,0.022727272727272728,0.0,0.0,0.003787878787878788,0.0,0.0,0.02462121212121212,0.026515151515151516,0.0,0.022727272727272728,0.022727272727272728,0.0,0.0,0.0,0.0,0.02840909090909091,0.0,0.0,0.045454545454545456,0.0,0.022727272727272728,0.058712121212121215,0.0,0.045454545454545456,0.0,0.0,0.026515151515151516,0.022727272727272728,0.0,0.06060606060606061,0.02840909090909091,0.026515151515151516,0.026515151515151516,0.022727272727272728,0.0,0.022727272727272728,0.054924242424242424,0.0,0.022727272727272728,0.0,0.02462121212121212,0.0,0.05303030303030303,0.0,0.0,0.0,0.026515151515151516,0.020833333333333336,0.047348484848484855,0.022727272727272728,0.0,0.0,0.0,0.02840909090909091,0.06439393939393939,0.054924242424242424,0.0,0.020833333333333336,0.0,0.0,0.05303030303030303,0.0,0.0,0.05113636363636364,0.022727272727272728,0.0,0.0,0.017045454545454544,0.022727272727272728,0.0,0.0,0.045454545454545456,0.0,0.054924242424242424
P007,0.23106060606060605,0.15151515151515152,0.026515151515151516,0.375,0.2727272727272727,0.02462121212121212,1.0,0.10984848484848485,0.08333333333333333,0.026515151515151516,0.026515151515151516,0.03409090909090909,0.5606060606060607,0.022727272727272728,0.6685606060606061,0.005681818181818182,0.001893939393939394,0.43181818181818177,0.005681818181818182,0.058712121212121215,0.030303030303030304,0.1893939393939394,0.026515151515151516,0.05681818181818182,0.23484848484848486,0.054924242424242424,0.026515151515151516,0.04924242424242424,0.047348484848484855,0.07954545454545454,0.07196969696969698,0.02840909090909091,0.026515151515151516,0.030303030303030304,0.134469696969697,0.1306818181818182,0.1875,0.013257575757575758,0.05113636363636364,0.032196969696969696,0.23295454545454547,0.030303030303030304,0.19696969696969696,0.13068181818181818,0.06060606060606061,0.09090909090909091,0.06439393939393939,0.2613636363636364,0.23674242424242425,0.030303030303030304,0.058712121212121215,0.09280303030303032,0.16666666666666666,0.07954545454545454,0.11363636363636365,0.3087121212121212,0.030303030303030304,0.08333333333333334,0.2178030303030303,0.1515151515151515,0.003787878787878788,0.05681818181818182,0.026515151515151516,0.06439393939393939,0.001893939393939394,0.2708333333333333,0.05303030303030303,0.022727272727272728,0.05681818181818182,0.05303030303030303,0.26136363636363635,0.2821969696969697,0.003787878787878788,0.022727272727272728,0.026515151515151516,0.026515151515151516,0.26704545454545453,0.12310606060606061,0.07954545454545454,0.09280303030303032,0.4981060606060606,0.11931818181818182,0.026515151515151516,0.08901515151515152,0.05303030303030303,0.09090909090909091,0.375,0.2840909090909091,0.026515151515151516,0.026515151515151516,0.25189393939393934,0.49431818181818177,0.13257575757575757,0.5227272727272727,0.026515151515151516,0.04924242424242424,0.030303030303030304,0.34090909090909094,0.47159090909090906,0.032196969696969696,0.05303030303030303,0.03787878787878788,0.3446969696969697,0.1571969696969697,0.05303030303030303,0.23106060606060608,0.001893939393939394,0.05303030303030303,0.05113636363636364,0.026515151515151516,0.4166666666666667,0.032196969696969696,0.03598484848484849,0.058712121212121215,0.10606060606060606,0.518939393939394,0.4034090909090909,0.026515151515151516,0.032196969696969696,0.026515151515151516,0.25757575757575757,0.11931818181818182,0.07954545454545454,0.0984848484848485,0.030303030303030304,0.4034090909090909,0.030303030303030304,0.032196969696969696,0.022727272727272728,0.001893939393939394,0.43371212121212116,0.08143939393939394,0.23674242424242425,0.05303030303030303,0.054924242424242424,0.4772727272727273
P008,0.134469696969697,0.0,0.0,0.05303030303030303,0.08143939393939394,0.0,0.10984848484848485,1.0,0.0,0.026515151515151516,0.0,0.0,0.10606060606060606,0.0,0.10606060606060606,0.02840909090909091,0.005681818181818182,0.06439393939393939,0.0,0.05113636363636364,0.0,0.08901515151515152,0.01893939393939394,0.05681818181818182,0.10227272727272728,0.0,0.0,0.06060606060606061,0.0,0.022727272727272728,0.0,0.03409090909090909,0.0,0.0,0.047348484848484855,0.032196969696969696,0.08901515151515152,0.0,0.0,0.02462121212121212,0.08333333333333334,0.0,0.11363636363636365,0.054924242424242424,0.05303030303030303,0.0,0.05113636363636364,0.10416666666666666,0.06818181818181819,0.0,0.0,0.04734848484848485,0.09848484848484848,0.026515151515151516,0.08143939393939395,0.11742424242424243,0.0,0.10606060606060606,0.0,0.05113636363636364,0.003787878787878788,0.045454545454545456,0.0,0.08522727272727273,0.003787878787878788,0.0,0.01893939393939394,0.030303030303030304,0.0,0.026515151515151516,0.10606060606060606,0.11742424242424243,0.0,0.0,0.026515151515151516,0.0,0.11174242424242425,0.0,0.0,0.09659090909090909,0.06439393939393939,0.054924242424242424,0.0,0.0,0.026515151515151516,0.026515151515151516,0.08901515151515152,0.07765151515151515,0.0,0.0,0.08333333333333334,0.10984848484848485,0.0,0.07575757575757576,0.0,0.0,0.02840909090909091,0.08712121212121213,0.07765151515151515,0.02840909090909091,0.0,0.032196969696969696,0.07575757575757576,0.0984848484848485,0.0,0.0,0.005681818181818182,0.05303030303030303,0.03598484848484849,0.0,0.1268939393939394,0.0,0.0,0.026515151515151516,0.07765151515151515,0.13257575757575757,0.0625,0.0,0.026515151515151516,0.0,0.11174242424242425,0.08143939393939394,0.0,0.045454545454545456,0.0,0.10037878787878789,0.0,0.0,0.0,0.0,0.10606060606060606,0.0,0.10795454545454546,0.0,0.03598484848484849,0.09848484848484848
P009,0.07954545454545454,0.07954545454545454,0.05681818181818182,0.10984848484848485,0.0,0.047348484848484855,0.08333333333333333,0.0,1.0,0.0,0.022727272727272728,0.026515151515151516,0.08143939393939394,0.0,0.10984848484848485,0.0,0.0,0.08143939393939394,0.0,0.0,0.0,0.026515151515151516,0.0,0.0,0.0,0.003787878787878788,0.0,0.0,0.0,0.026515151515151516,0.0,0.0,0.030303030303030304,0.06060606060606061,0.0,0.0,0.0,0.0,0.05113636363636364,0.0,0.0,0.05681818181818182,0.0,0.0,0.0,0.0,0.003787878787878788,0.0,0.0,0.026515151515151516,0.0,0.026515151515151516,0.0,0.08712121212121213,0.0,0.0,0.030303030303030304,0.0,0.06060606060606061,0.0,0.0,0.0,0.030303030303030304,0.0,0.0,0.022727272727272728,0.0,0.0,0.08522727272727273,0.026515151515151516,0.0,0.030303030303030304,0.032196969696969696,0.0,0.0,0.0,0.0,0.05681818181818182,0.0,0.0,0.10984848484848485,0.0,0.030303030303030304,0.04924242424242424,0.0,0.08333333333333333,0.0,0.0,0.026515151515151516,0.030303030303030304,0.0,0.10227272727272728,0.054924242424242424,0.08333333333333333,0.026515151515151516,0.05303030303030303,0.0,0.05681818181818182,0.058712121212121215,0.0,0.05681818181818182,0.0,0.08522727272727273,0.0,0.07954545454545454,0.0,0.0,0.0,0.026515151515151516,0.026515151515151516,0.08712121212121213,0.030303030303030304,0.0,0.0,0.0,0.05303030303030303,0.058712121212121215,0.02840909090909091,0.0,0.026515151515151516,0.0,0.0,0.11363636363636365,0.0,0.0,0.08712121212121213,0.026515151515151516,0.0,0.0,0.026515151515151516,0.026515151515151516,0.0,0.0,0.08333333333333333,0.0,0.08143939393939394
P010,0.026515151515151516,0.0,0.0,0.026515151515151516,0.026515151515151516,0.0,0.026515151515151516,0.026515151515151516,0.0,1.0,0.0,0.0,0.022727272727272728,0.0,0.022727272727272728,0.0,0.003787878787878788,0.026515151515151516,0.0,0.022727272727272728,0.0,0.026515151515151516,0.0,0.030303030303030304,0.026515151515151516,0.0,0.0,0.026515151515151516,0.0,0.026515151515151516,0.0,0.022727272727272728,0.0,0.0,0.026515151515151516,0.0,0.026515151515151516,0.0,0.0,0.022727272727272728,0.022727272727272728,0.0,0.026515151515151516,0.0,0.026515151515151516,0.0,0.022727272727272728,0.026515151515151516,0.026515151515151516,0.0,0.0,0.026515151515151516,0.01893939393939394,0.026515151515151516,0.022727272727272728,0.022727272727272728,0.0,0.026515151515151516,0.0,0.022727272727272728,0.0,0.022727272727272728,0.0,0.026515151515151516,0.0,0.0,0.0,0.026515151515151516,0.0,0.026515151515151516,0.022727272727272728,0.026515151515151516,0.0,0.0,0.026515151515151516,0.0,0.026515151515151516,0.0,0.0,0.01893939393939394,0.026515151515151516,0.0,0.0,0.0,0.015151515151515152,0.026515151515151516,0.026515151515151516,0.026515151515151516,0.0,0.0,0.022727272727272728,0.026515151515151516,0.0,0.022727272727272728,0.0,0.0,0.026515151515151516,0.030303030303030304,0.022727272727272728,0.026515151515151516,0.0,0.0,0.022727272727272728,0.026515151515151516,0.0,0.0,0.003787878787878788,0.030303030303030304,0.026515151515151516,0.0,0.022727272727272728,0.0,0.0,0.0,0.026515151515151516,0.026515151515151516,0.026515151515151516,0.0,0.0,0.0,0.026515151515151516,0.026515151515151516,0.0,0.0,0.0,0.01893939393939394,0.0,0.0,0.0,0.0,0.026515151515151516,0.0,0.030303030303030304,0.0,0.026515151515151516,0.01893939393939394
