participante_u,participante_v,jogos_comparaveis,total_jogos,sim_media,cobertura,sim_final
P001,P002,3,33,0.6041666666666666,0.09090909090909091,0.054924242424242424
P001,P003,2,33,0.9375,0.06060606060606061,0.05681818181818182
P001,P004,7,33,0.7053571428571429,0.21212121212121213,0.14962121212121213
P001,P005,5,33,0.4625,0.15151515151515152,0.07007575757575758
P001,P006,3,33,0.5833333333333334,0.09090909090909091,0.05303030303030303
P001,P007,9,33,0.8472222222222222,0.2727272727272727,0.23106060606060605
P001,P008,6,33,0.7395833333333334,0.18181818181818182,0.134469696969697
P001,P009,3,33,0.875,0.09090909090909091,0.07954545454545454
P001,P010,1,33,0.875,0.030303030303030304,0.026515151515151516
P001,P011,1,33,0.75,0.030303030303030304,0.022727272727272728
P001,P012,2,33,0.46875,0.06060606060606061,0.02840909090909091
P001,P013,10,33,0.79375,0.30303030303030304,0.240530303030303
P001,P014,0,33,0.0,0.0,0.0
P001,P015,10,33,0.84375,0.30303030303030304,0.2556818181818182
P001,P016,2,33,0.53125,0.06060606060606061,0.032196969696969696
P001,P017,1,33,0.0625,0.030303030303030304,0.001893939393939394
P001,P018,10,33,0.5875,0.30303030303030304,0.17803030303030304
P001,P019,0,33,0.0,0.0,0.0
P001,P020,3,33,0.6875,0.09090909090909091,0.0625
P001,P021,0,33,0.0,0.0,0.0
P001,P022,8,33,0.5625,0.24242424242424243,0.13636363636363635
P001,P023,1,33,0.875,0.030303030303030304,0.026515151515151516
P001,P024,2,33,0.9375,0.06060606060606061,0.05681818181818182
P001,P025,5,33,0.7,0.15151515151515152,0.10606060606060606
P001,P026,0,33,0.0,0.0,0.0
P001,P027,0,33,0.0,0.0,0.0
P001,P028,2,33,0.8125,0.06060606060606061,0.04924242424242424
P001,P029,1,33,0.0625,0.030303030303030304,0.001893939393939394
P001,P030,2,33,0.875,0.06060606060606061,0.05303030303030303
P001,P031,0,33,0.0,0.0,0.0
P001,P032,3,33,0.3333333333333333,0.09090909090909091,0.030303030303030304
P001,P033,1,33,1.0,0.030303030303030304,0.030303030303030304
P001,P034,3,33,0.6875,0.09090909090909091,0.0625
P001,P035,4,33,0.640625,0.12121212121212122,0.07765151515151515
P001,P036,3,33,0.875,0.09090909090909091,0.07954545454545454
P001,P037,7,33,0.5267857142857143,0.21212121212121213,0.11174242424242425
P001,P038,0,33,0.0,0.0,0.0
