participante_id,comunidade,pagerank,betweenness,grau_intercomunidades,forca_intercomunidades
P099,1,0.0296681440756717,0.008955223880597,12,3.4943181818181808
P015,1,0.0301069672875626,0.0078496406854615,13,4.630681818181818
P126,1,0.0308854977711783,0.0063571033720287,16,4.893939393939394
P013,3,0.0299891842259376,0.0056384742951907,35,13.24242424242424
P041,2,0.019516549668274,0.0046434494195688,20,5.371212121212119
P_TESTE,1,0.0299405712542721,0.0044776119402985,16,4.861742424242424
P092,1,0.0276596445599178,0.0037037037037037,15,4.367424242424241
P018,1,0.0247628904856981,0.0033167495854063,11,3.132575757575757
P131,1,0.0260126844778092,0.0016583747927031,13,3.946969696969696
P116,1,0.0278450690863399,0.001437258153676,13,4.176136363636363
P111,2,0.0259548340627379,0.0013266998341625,24,8.532196969696969
P081,1,0.0264057556644089,0.0007739082365948,12,3.5795454545454546
P048,2,0.0172332810350943,0.0005527915975677,16,4.174242424242424
P004,1,0.0183289228524422,0.000221116639027,2,0.6818181818181818
P007,1,0.0259192702309882,0.0001658374792703,13,3.8371212121212115
P071,2,0.0177625873031837,0.0001105583195135,15,4.450757575757574
P094,1,0.0248211674259617,0.0001105583195135,11,3.486742424242424
P103,1,0.0237866941735543,0.0001105583195135,11,3.0340909090909087
P072,2,0.0215898879676648,0.0,21,6.573863636363635
P088,2,0.019697933676438,0.0,21,6.054924242424241
P077,2,0.0174423115682378,0.0,19,5.202651515151513
P056,2,0.0160407325487923,0.0,16,4.257575757575757
P133,2,0.01291622151425,0.0,15,3.948863636363636
P049,2,0.0124715568312136,0.0,14,3.3068181818181808
P087,1,0.023848901803654,0.0,13,3.7253787878787876
P121,2,0.0127640682790141,0.0,12,3.047348484848485
P098,1,0.0216348975367093,0.0,11,3.1098484848484844
P005,1,0.0193635699447022,0.0,11,2.7935606060606055
P022,2,0.0077660909162027,0.0,8,1.895833333333333
P117,1,0.0200690930652266,0.0,7,2.0397727272727275
P091,1,0.0128778092686083,0.0,6,1.5018939393939392
P001,3,0.0057053017643441,0.0,6,1.4412878787878785
P106,1,0.0156184671981133,0.0,5,1.231060606060606
P025,1,0.014096206057741,0.0,5,1.1439393939393936
P043,3,0.0050408717604206,0.0,5,1.0662878787878787
P066,1,0.01210616018445,0.0,4,0.9545454545454544
P060,2,0.0052354733390657,0.0,2,0.4545454545454545
P044,2,0.0038358938019073,0.0,2,0.42992424242424243
P037,2,0.0051789609682328,0.0,2,0.41287878787878785
P059,1,0.0059061682760846,0.0,1,0.2253787878787878
