clique,tamanho,participantes
1,32,P001;P004;P007;P013;P015;P018;P022;P025;P041;P043;P048;P049;P056;P071;P072;P077;P081;P087;P088;P091;P092;P094;P098;P099;P111;P116;P117;P121;P126;P131;P133;P_TESTE
2,32,P004;P005;P007;P013;P015;P018;P022;P025;P041;P043;P048;P049;P056;P071;P072;P077;P081;P087;P088;P091;P092;P094;P098;P099;P111;P116;P117;P121;P126;P131;P133;P_TESTE
3,31,P001;P004;P007;P013;P015;P018;P022;P025;P041;P043;P044;P048;P056;P071;P072;P077;P081;P087;P088;P091;P092;P094;P098;P099;P111;P116;P121;P126;P131;P133;P_TESTE
4,31,P001;P004;P007;P013;P015;P018;P022;P025;P041;P048;P049;P056;P071;P072;P077;P081;P087;P088;P091;P092;P094;P098;P099;P103;P111;P116;P117;P121;P126;P131;P_TESTE
5,31,P001;P007;P013;P015;P022;P025;P041;P043;P048;P049;P056;P071;P072;P077;P081;P087;P088;P091;P092;P094;P098;P099;P111;P116;P117;P121;P122;P126;P131;P133;P_TESTE
6,31,P004;P005;P007;P013;P015;P018;P022;P025;P041;P043;P044;P048;P056;P071;P072;P077;P081;P087;P088;P091;P092;P094;P098;P099;P111;P116;P121;P126;P131;P133;P_TESTE
7,31,P004;P005;P007;P013;P015;P018;P022;P025;P041;P043;P044;P048;P056;P071;P072;P077;P081;P087;P091;P092;P094;P098;P099;P111;P116;P121;P124;P126;P131;P133;P_TESTE
8,31,P004;P005;P007;P013;P015;P018;P022;P025;P041;P048;P049;P056;P071;P072;P077;P081;P087;P088;P091;P092;P094;P098;P099;P103;P111;P116;P117;P121;P126;P131;P_TESTE
9,31,P004;P005;P007;P013;P015;P018;P025;P041;P048;P049;P056;P071;P072;P077;P081;P087;P088;P091;P092;P094;P098;P099;P103;P106;P111;P116;P117;P121;P126;P131;P_TESTE
10,31,P004;P005;P007;P013;P015;P018;P025;P041;P048;P049;P056;P071;P072;P077;P081;P087;P088;P091;P092;P094;P098;P099;P106;P111;P116;P117;P121;P126;P131;P133;P_TESTE
11,31,P005;P007;P013;P015;P022;P025;P041;P043;P048;P049;P056;P071;P072;P077;P081;P087;P088;P091;P092;P094;P098;P099;P111;P116;P117;P121;P122;P126;P131;P133;P_TESTE
12,30,P001;P004;P007;P013;P015;P018;P022;P025;P035;P041;P043;P048;P056;P072;P081;P087;P088;P091;P092;P094;P098;P099;P111;P116;P117;P121;P126;P131;P133;P_TESTE
13,30,P001;P004;P007;P013;P015;P018;P022;P025;P041;P044;P048;P056;P071;P072;P077;P081;P087;P088;P091;P092;P094;P098;P099;P103;P111;P116;P121;P126;P131;P_TESTE
14,30,P001;P004;P007;P013;P015;P022;P025;P041;P043;P048;P049;P055;P056;P071;P072;P077;P081;P087;P088;P091;P092;P094;P099;P111;P116;P117;P126;P131;P133;P_TESTE
15,30,P001;P007;P013;P015;P022;P025;P041;P043;P044;P048;P056;P071;P072;P077;P081;P087;P088;P091;P092;P094;P098;P099;P111;P116;P121;P122;P126;P131;P133;P_TESTE
16,30,P001;P007;P013;P015;P022;P025;P041;P043;P048;P049;P055;P056;P071;P072;P077;P081;P087;P088;P091;P092;P094;P099;P111;P116;P117;P122;P126;P131;P133;P_TESTE
17,30,P001;P007;P013;P015;P022;P025;P041;P048;P049;P056;P071;P072;P077;P081;P087;P088;P091;P092;P094;P098;P099;P103;P111;P116;P117;P121;P122;P126;P131;P_TESTE
18,30,P001;P007;P013;P015;P025;P041;P043;P048;P049;P056;P071;P072;P077;P080;P087;P088;P091;P092;P094;P098;P099;P111;P116;P117;P121;P122;P126;P131;P133;P_TESTE
19,30,P004;P005;P007;P013;P015;P018;P022;P025;P035;P041;P043;P048;P056;P072;P081;P087;P088;P091;P092;P094;P098;P099;P111;P116;P117;P121;P126;P131;P133;P_TESTE
20,30,P004;P005;P007;P013;P015;P018;P022;P025;P041;P044;P048;P056;P071;P072;P077;P081;P087;P088;P091;P092;P094;P098;P099;P103;P111;P116;P121;P126;P131;P_TESTE
21,30,P004;P005;P007;P013;P015;P022;P025;P041;P043;P048;P049;P055;P056;P071;P072;P077;P081;P087;P088;P091;P092;P094;P099;P111;P116;P117;P126;P131;P133;P_TESTE
22,30,P005;P007;P013;P015;P022;P025;P041;P043;P044;P048;P056;P071;P072;P077;P081;P087;P088;P091;P092;P094;P098;P099;P111;P116;P121;P122;P126;P131;P133;P_TESTE
23,30,P005;P007;P013;P015;P022;P025;P041;P043;P048;P049;P055;P056;P071;P072;P077;P081;P087;P088;P091;P092;P094;P099;P111;P116;P117;P122;P126;P131;P133;P_TESTE
24,30,P005;P007;P013;P015;P022;P025;P041;P048;P049;P056;P071;P072;P077;P081;P087;P088;P091;P092;P094;P098;P099;P103;P111;P116;P117;P121;P122;P126;P131;P_TESTE
25,30,P005;P007;P013;P015;P025;P041;P043;P048;P049;P056;P071;P072;P077;P080;P087;P088;P091;P092;P094;P098;P099;P111;P116;P117;P121;P122;P126;P131;P133;P_TESTE
26,29,P001;P004;P007;P013;P015;P018;P022;P025;P035;P041;P048;P056;P072;P081;P087;P088;P091;P092;P094;P098;P099;P103;P111;P116;P117;P121;P126;P131;P_TESTE
