componente,participante_id
1,P001
1,P002
1,P003
1,P004
1,P005
1,P006
1,P007
1,P008
1,P009
1,P012
1,P013
1,P014
1,P015
1,P016
1,P018
1,P020
1,P021
1,P022
1,P024
1,P025
1,P027
1,P028
1,P029
1,P030
1,P031
1,P032
1,P034
1,P035
1,P036
1,P037
1,P038
1,P039
1,P040
1,P041
1,P042
1,P043
1,P044
1,P045
1,P046
1,P047
1,P048
1,P049
1,P051
1,P052
1,P053
1,P054
1,P055
1,P056
1,P058
1,P059
1,P060
1,P062
1,P064
1,P066
1,P067
1,P069
1,P070
1,P071
1,P072
1,P073
1,P077
1,P078
1,P079
1,P080
1,P081
1,P082
1,P084
1,P085
1,P086
1,P087
1,P088
1,P091
1,P092
1,P093
1,P094
1,P096
1,P097
1,P098
1,P099
1,P100
1,P101
1,P102
1,P103
1,P104
1,P105
1,P106
1,P108
1,P109
1,P111
1,P112
1,P113
1,P114
1,P115
1,P116
1,P117
1,P118
1,P119
1,P121
1,P122
1,P123
1,P124
1,P126
1,P128
1,P130
1,P131
1,P132
1,P133
1,P134
1,P135
1,P_TESTE
2,P010
3,P011
4,P017
5,P019
6,P023
7,P026
8,P033
9,P050
10,P057
11,P061
12,P063
13,P065
14,P068
15,P074
16,P075
17,P076
18,P083
19,P089
20,P090
21,P095
22,P107
23,P110
24,P120
25,P125
26,P127
27,P129
