comunidade,participante_id
1,P001
1,P002
1,P003
1,P004
1,P006
1,P007
1,P009
1,P012
1,P015
1,P018
1,P021
1,P027
1,P030
1,P031
1,P034
1,P039
1,P042
1,P046
1,P051
1,P052
1,P054
1,P059
1,P066
1,P069
1,P070
1,P073
1,P078
1,P081
1,P084
1,P085
1,P086
1,P092
1,P093
1,P094
1,P096
1,P098
1,P099
1,P101
1,P103
1,P105
1,P106
1,P109
1,P112
1,P113
1,P116
1,P117
1,P118
1,P123
1,P126
1,P130
1,P134
1,P_TESTE
2,P005
2,P008
2,P014
2,P016
2,P020
2,P022
2,P025
2,P028
2,P032
2,P035
2,P036
2,P037
2,P040
2,P041
2,P043
2,P044
2,P047
2,P048
2,P049
2,P053
2,P055
2,P056
2,P058
2,P060
2,P062
2,P064
2,P071
2,P072
2,P077
2,P079
2,P080
2,P082
2,P087
2,P088
2,P091
2,P097
2,P100
2,P102
2,P104
2,P111
2,P119
2,P121
2,P122
2,P124
2,P128
2,P131
2,P133
2,P135
3,P013
3,P024
3,P038
3,P045
3,P067
3,P108
3,P114
3,P115
4,P029
4,P132
5,P010
6,P011
7,P017
8,P019
9,P023
10,P026
11,P033
12,P050
13,P057
14,P061
15,P063
16,P065
17,P068
18,P074
19,P075
20,P076
21,P083
22,P089
23,P090
24,P095
25,P107
26,P110
27,P120
28,P125
29,P127
30,P129
