,P001,P002,P003,P004,P005,P006,P007,P008,P009,P010,P011,P012,P013,P014,P015,P016,P017,P018,P019,P020,P021,P022,P023,P024,P025,P026,P027,P028,P029,P030,P031,P032,P033,P034,P035,P036,P037,P038,P039,P040,P041,P042,P043,P044,P045,P046,P047,P048,P049,P050,P051,P052,P053,P054,P055,P056,P057,P058,P059,P060,P061,P062,P063,P064,P065,P066,P067,P068,P069,P070,P071,P072,P073,P074,P075,P076,P077,P078,P079,P080,P081,P082,P083,P084,P085,P086,P087,P088,P089,P090,P091,P092,P093,P094,P095,P096,P097,P098,P099,P100,P101,P102,P103,P104,P105,P106,P107,P108,P109,P110,P111,P112,P113,P114,P115,P116,P117,P118,P119,P120,P121,P122,P123,P124,P125,P126,P127,P128,P129,P130,P131,P132,P133,P134,P135,P_TESTE
P001,1.0,0.18216310401573219,0.23079654558624887,0.32486364938638596,0.1800278808373522,0.17588161767036212,0.4424473755540653,0.3153593929426738,0.26382242650554316,0.15231794896123563,0.1305582419667734,0.11539827279312444,0.4369449942845243,0.0,0.4644690884126834,0.13078470916554102,0.010879853497231116,0.32340810600586845,0.0,0.2072890493972125,0.0,0.27695585470349865,0.15231794896123563,0.23079654558624887,0.27247463045653303,0.0,0.0,0.2000236728414157,0.010879853497231116,0.2154101092138323,0.0,0.10050378152592121,0.17407765595569785,0.2072890493972125,0.22303699669323787,0.26382242650554316,0.24261968751641483,0.0,0.20100756305184242,0.13078470916554102,0.3153593929426738,0.19472607670647235,0.3125270551058903,0.23391685019046898,0.24618298195866548,0.0,0.17951758270431342,0.35364903604087583,0.25761753226302925,0.15231794896123563,0.0,0.23354968324845687,0.3495368379473773,0.30463589792247125,0.25761753226302925,0.4029954131628585,0.1305582419667734,0.31551575141970234,0.2154101092138323,0.19738550848793068,0.02175970699446223,0.2154101092138323,0.17407765595569785,0.2556765571849312,0.010879853497231116,0.24618298195866548,0.11539827279312444,0.1305582419667734,0.19472607670647235,0.2154101092138323,0.33720024366688156,0.3577346456586858,0.13078470916554102,0.0,0.15231794896123563,0.15231794896123563,0.333088045573383,0.20100756305184242,0.02175970699446223,0.2968027224615806,0.3300222227493438,0.26655641068216235,0.17407765595569785,0.16960013132499205,0.15775787570985117,0.28220586725855207,0.26729287607740615,0.2960782627318961,0.15231794896123563,0.17407765595569785,0.32868443771489947,0.41974243545442497,0.1033586082236956,0.3461948183793733,0.15231794896123563,0.2000236728414157,0.10678526787129129,0.3154219456345401,0.35178192974380607,0.13078470916554102,0.2154101092138323,0.1256297269074015,0.3191423692521127,0.25761753226302925,0.26382242650554316,0.02175970699446223,0.010879853497231116,0.2154101092138323,0.18216310401573219,0.15231794896123563,0.4885526707748225,0.17407765595569785,0.0,0.10678526787129129,0.22847692344185344,0.33727545841416456,0.3001904608253946,0.10678526787129129,0.13078470916554102,0.15231794896123563,0.33720024366688156,0.2968027224615806,0.26382242650554316,0.19472607670647235,0.0,0.41974243545442497,0.15231794896123563,0.0,0.0,0.09231861823449955,0.38850751840351894,0.03263956049169335,0.21794649895542345,0.26382242650554316,0.16319780245846674,0.4059803883903455
P002,0.18216310401573219,1.0,0.2154101092138323,0.3172150604411888,0.35004142747247746,0.18216310401573219,0.27524094128159016,0.0,0.22847692344185344,0.0,0.15231794896123563,0.23079654558624887,0.3234965467865589,0.14687802221262006,0.3266372899592439,0.0,0.0,0.3247595264191645,0.0,0.0,0.0,0.1846372364689991,0.0,0.0,0.19462473604038075,0.03263956049169335,0.11539827279312444,0.0,0.0,0.2154101092138323,0.13847792735174932,0.0,0.1305582419667734,0.2763853991962833,0.0,0.1769440182827908,0.2000236728414157,0.0,0.08703882797784893,0.0,0.34131244176038017,0.2889483718870235,0.0,0.1846372364689991,0.0,0.10770505460691615,0.0,0.27734024885754255,0.19327331039443213,0.1305582419667734,0.0,0.1305582419667734,0.0,0.16960013132499205,0.0,0.31551575141970234,0.02175970699446223,0.0,0.21156350012072814,0.10001183642070785,0.0,0.0,0.1305582419667734,0.0,0.0,0.2139704521122119,0.0,0.0,0.19039743620154453,0.15231794896123563,0.22208407953709422,0.2884956819828111,0.13078470916554102,0.1305582419667734,0.0,0.0,0.207716891027624,0.11967838846954228,0.09231861823449955,0.0,0.32035580361387384,0.2000236728414157,0.1305582419667734,0.2447967036877001,0.0,0.16960013132499205,0.21156350012072814,0.24233637286556134,0.15231794896123563,0.1305582419667734,0.14447418594351175,0.4585485032120155,0.23935677693908455,0.3302891295379082,0.15231794896123563,0.09231861823449955,0.0,0.3409020762465749,0.33132032493268293,0.0,0.10001183642070785,0.0,0.35176323534072423,0.0,0.2072890493972125,0.27695585470349865,0.0,0.0,0.1305582419667734,0.10879853497231115,0.31491832864888675,0.1305582419667734,0.0,0.0,0.0,0.251157358919451,0.3140743172685038,0.11306675421666136,0.0,0.10879853497231115,0.15775787570985117,0.0,0.2447967036877001,0.2154101092138323,0.0,0.33291877630461403,0.1305582419667734,0.2154101092138323,0.10879853497231115,0.07693218186208296,0.3191423692521127,0.1305582419667734,0.09231861823449955,0.18216310401573219,0.0,0.30835753013536826
P003,0.23079654558624887,0.2154101092138323,1.0,0.24618298195866548,0.0,0.1846372364689991,0.15231794896123563,0.0,0.23079654558624887,0.0,0.1305582419667734,0.15231794896123563,0.13847792735174932,0.0,0.23079654558624887,0.0,0.0,0.23079654558624887,0.0,0.0,0.0,0.15231794896123563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15231794896123563,0.0,0.0,0.17407765595569785,0.24618298195866548,0.0,0.0,0.0,0.0,0.12309149097933274,0.0,0.0,0.23079654558624887,0.0,0.0,0.0,0.0,0.02175970699446223,0.0,0.0,0.15231794896123563,0.0,0.15231794896123563,0.0,0.23079654558624887,0.0,0.0,0.0,0.0,0.17407765595569785,0.0,0.0,0.0,0.17407765595569785,0.0,0.0,0.0,0.0,0.0,0.14617114553795763,0.15231794896123563,0.0,0.17407765595569785,0.14617114553795763,0.0,0.0,0.0,0.0,0.13847792735174932,0.0,0.0,0.23079654558624887,0.0,0.17407765595569785,0.2000236728414157,0.0,0.2154101092138323,0.0,0.0,0.15231794896123563,0.17407765595569785,0.0,0.2000236728414157,0.12309149097933274,0.15231794896123563,0.15231794896123563,0.17407765595569785,0.0,0.17407765595569785,0.23079654558624887,0.0,0.17407765595569785,0.0,0.13847792735174932,0.0,0.23079654558624887,0.0,0.0,0.0,0.15231794896123563,0.15231794896123563,0.2154101092138323,0.17407765595569785,0.0,0.0,0.0,0.15231794896123563,0.24618298195866548,0.12309149097933274,0.0,0.15231794896123563,0.0,0.0,0.2154101092138323,0.0,0.0,0.23079654558624887,0.15231794896123563,0.0,0.0,0.09231861823449955,0.15231794896123563,0.0,0.0,0.24618298195866548,0.0,0.2154101092138323
P004,0.32486364938638596,0.3172150604411888,0.24618298195866548,1.0,0.3634703946869027,0.16331864497962195,0.4700873778960065,0.15231794896123563,0.31551575141970234,0.15231794896123563,0.1305582419667734,0.10678526787129129,0.49080581577697824,0.19583736295016008,0.499689178958462,0.03846609093104148,0.010879853497231116,0.4673328930624041,0.0,0.11539827279312444,0.23079654558624887,0.36421789044083447,0.1305582419667734,0.12309149097933274,0.3681384690587665,0.04397040441759053,0.22613350843332272,0.1305582419667734,0.0,0.2763853991962833,0.10879853497231115,0.08462540004829126,0.17407765595569785,0.21985202208795263,0.2154101092138323,0.2000236728414157,0.32424275612415754,0.17951758270431342,0.17407765595569785,0.11539827279312444,0.26147889421751064,0.2072890493972125,0.23935677693908455,0.23935677693908455,0.12309149097933274,0.25761753226302925,0.10678526787129129,0.3118891335872919,0.20299019419517275,0.15231794896123563,0.23391685019046898,0.251259453814803,0.09791868147508004,0.2937560444252401,0.2447967036877001,0.2692626365172904,0.1305582419667734,0.16863772920708228,0.373965515270553,0.31980107453341566,0.0,0.15231794896123563,0.17407765595569785,0.23935677693908455,0.1305582419667734,0.34234100582266913,0.12309149097933274,0.1305582419667734,0.2556765571849312,0.2000236728414157,0.2821219648136299,0.2701039128509133,0.14617114553795763,0.02175970699446223,0.1305582419667734,0.0,0.25440019698748806,0.3750157824961666,0.13847792735174932,0.16319780245846674,0.5353910813724629,0.2968027224615806,0.17407765595569785,0.26541602742418624,0.1846372364689991,0.26274339365451405,0.5119179012414082,0.23869648112406286,0.15231794896123563,0.17407765595569785,0.2878538665448989,0.4797016118001235,0.1398147351789509,0.49670590531982334,0.15231794896123563,0.2000236728414157,0.12309149097933274,0.45926576170275124,0.5056711779609212,0.13078470916554102,0.2154101092138323,0.2072890493972125,0.44860984066493026,0.18495750945292896,0.2763853991962833,0.4045199174779452,0.010879853497231116,0.12309149097933274,0.16960013132499205,0.15231794896123563,0.39047408700996106,0.13847792735174932,0.1570371586342519,0.11934824056203143,0.14687802221262006,0.4360834011773082,0.3916822812812663,0.10678526787129129,0.24618298195866548,0.15231794896123563,0.2692626365172904,0.19472607670647235,0.31551575141970234,0.2556765571849312,0.17407765595569785,0.4900189558324237,0.15231794896123563,0.11539827279312444,0.10879853497231115,0.09231861823449955,0.4667537904261657,0.1305582419667734,0.2858076287143384,0.2763853991962833,0.10770505460691615,0.41288634241435695
P005,0.1800278808373522,0.35004142747247746,0.0,0.3634703946869027,1.0,0.0,0.37998029782867415,0.23391685019046898,0.0,0.15231794896123563,0.0,0.0,0.45493532049439,0.2447967036877001,0.44763689289287567,0.0,0.010879853497231116,0.38937749361755,0.0,0.2763853991962833,0.1846372364689991,0.2647431017659571,0.0,0.11539827279312444,0.43028181465785015,0.0,0.10770505460691615,0.2000236728414157,0.16319780245846674,0.23079654558624887,0.23391685019046898,0.16960013132499205,0.0,0.0,0.24873416908154553,0.2577228092379779,0.2958840118777094,0.09791868147508004,0.0,0.2154101092138323,0.3721936841593883,0.0,0.3577346456586858,0.333088045573383,0.13078470916554102,0.2265257611278361,0.26382242650554316,0.32287554253514766,0.33990909732521785,0.0,0.31551575141970234,0.09791868147508004,0.17682451802043792,0.15231794896123563,0.25023663043631567,0.3674669512041494,0.0,0.14617114553795763,0.28220586725855207,0.1926686588971131,0.15231794896123563,0.2154101092138323,0.0,0.13847792735174932,0.0,0.3005807720148621,0.0,0.1305582419667734,0.0,0.15231794896123563,0.37510144731688355,0.4747490698178663,0.0,0.17407765595569785,0.15231794896123563,0.0,0.29103608105093237,0.1846372364689991,0.23841530164946642,0.251259453814803,0.4160103732863139,0.24673188560991335,0.0,0.0,0.08159890122923337,0.2154101092138323,0.3722198076772282,0.3835148357773968,0.0,0.0,0.3674669512041494,0.46709936649691375,0.2154101092138323,0.4564642790483589,0.0,0.0,0.17588161767036212,0.41030496993110915,0.4538998729862895,0.2154101092138323,0.0,0.15231794896123563,0.34195331170259197,0.2631806779839076,0.0,0.4161543962690902,0.010879853497231116,0.13078470916554102,0.1846372364689991,0.0,0.4025545793975513,0.0,0.21357053574258258,0.1305582419667734,0.10001183642070785,0.4865618401009519,0.4195615788524944,0.0,0.0,0.0,0.2983706014050786,0.25023663043631567,0.0,0.24873416908154553,0.1305582419667734,0.4865618401009519,0.0,0.2154101092138323,0.17407765595569785,0.0,0.3943695127664929,0.2611164839335468,0.3291155682912413,0.0,0.16863772920708228,0.4617617712772227
P006,0.17588161767036212,0.18216310401573219,0.1846372364689991,0.16331864497962195,0.0,1.0,0.10001183642070785,0.0,0.1570371586342519,0.0,0.1305582419667734,0.11539827279312444,0.08794080883518106,0.0,0.16960013132499205,0.0,0.0,0.15075567228888181,0.0,0.0,0.0,0.15231794896123563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15231794896123563,0.0,0.0,0.1305582419667734,0.16960013132499205,0.0,0.0,0.0,0.0,0.08794080883518106,0.0,0.0,0.18216310401573219,0.0,0.0,0.0,0.0,0.010879853497231116,0.0,0.0,0.1305582419667734,0.0,0.1305582419667734,0.0,0.15075567228888181,0.0,0.0,0.010879853497231116,0.0,0.09231861823449955,0.0,0.0,0.0,0.1305582419667734,0.0,0.0,0.02175970699446223,0.0,0.0,0.08165932248981098,0.15231794896123563,0.0,0.1305582419667734,0.09231861823449955,0.0,0.0,0.0,0.0,0.09422229518055114,0.0,0.0,0.15075567228888181,0.0,0.1305582419667734,0.19472607670647235,0.0,0.15075567228888181,0.0,0.0,0.15231794896123563,0.1305582419667734,0.0,0.20100756305184242,0.09422229518055114,0.10770505460691615,0.15231794896123563,0.09231861823449955,0.0,0.1305582419667734,0.18216310401573219,0.0,0.09231861823449955,0.0,0.08165932248981098,0.0,0.17588161767036212,0.0,0.0,0.0,0.15231794896123563,0.11967838846954228,0.1570371586342519,0.1305582419667734,0.0,0.0,0.0,0.11539827279312444,0.21357053574258258,0.18216310401573219,0.0,0.11967838846954228,0.0,0.0,0.17588161767036212,0.0,0.0,0.16960013132499205,0.1305582419667734,0.0,0.0,0.06923896367587466,0.1305582419667734,0.0,0.0,0.15075567228888181,0.0,0.18216310401573219
P007,0.4424473755540653,0.27524094128159016,0.15231794896123563,0.4700873778960065,0.37998029782867415,0.10001183642070785,1.0,0.25761753226302925,0.2763853991962833,0.15231794896123563,0.15231794896123563,0.13847792735174932,0.6197733194098475,0.07537783614444091,0.7131793402932446,0.023079654558624887,0.010879853497231116,0.49612131947373883,0.03263956049169335,0.19472607670647235,0.17407765595569785,0.3280399256759237,0.15231794896123563,0.23079654558624887,0.3894521534129447,0.18216310401573219,0.10770505460691615,0.2000236728414157,0.1570371586342519,0.26382242650554316,0.2067172164473912,0.09422229518055114,0.15231794896123563,0.12309149097933274,0.3153593929426738,0.28374166845140036,0.3247595264191645,0.04397040441759053,0.16960013132499205,0.13078470916554102,0.3576548683719123,0.12309149097933274,0.37716825457067865,0.26541602742418624,0.24618298195866548,0.23354968324845687,0.18495750945292896,0.4012713157343406,0.3634703946869027,0.17407765595569785,0.19472607670647235,0.23841530164946642,0.3191423692521127,0.26382242650554316,0.26650089544451305,0.45789407325628523,0.17407765595569785,0.23935677693908455,0.3956588530922859,0.262431940540739,0.02175970699446223,0.23079654558624887,0.15231794896123563,0.18495750945292896,0.010879853497231116,0.40171075138434836,0.2154101092138323,0.1305582419667734,0.18844459036110228,0.2154101092138323,0.3876649209163641,0.40527454277185904,0.02175970699446223,0.1305582419667734,0.15231794896123563,0.15231794896123563,0.3835148357773968,0.25002959105176964,0.20435597284239979,0.23841530164946642,0.5722802939543566,0.24233637286556134,0.15231794896123563,0.19327331039443213,0.15231794896123563,0.2611164839335468,0.48169622169994236,0.40799450614616684,0.15231794896123563,0.15231794896123563,0.40133128184275363,0.5568995676928682,0.2692626365172904,0.6005679130471575,0.15231794896123563,0.2000236728414157,0.10050378152592121,0.3997513431667696,0.5312949898679087,0.13078470916554102,0.2154101092138323,0.1256297269074015,0.3960266672992126,0.3192685547276443,0.2154101092138323,0.331835531665549,0.010879853497231116,0.2154101092138323,0.16960013132499205,0.15231794896123563,0.535218024111047,0.13078470916554102,0.14617114553795763,0.19472607670647235,0.30463589792247125,0.5633711388093022,0.4940732151636524,0.10770505460691615,0.13078470916554102,0.15231794896123563,0.41038386714747743,0.30653395926359966,0.26382242650554316,0.21383430086192493,0.17407765595569785,0.46348175898204547,0.17407765595569785,0.13078470916554102,0.1305582419667734,0.010879853497231116,0.5311866961149126,0.23391685019046898,0.33999542178847236,0.2154101092138323,0.15775787570985117,0.5181369597808181
P008,0.3153593929426738,0.0,0.0,0.15231794896123563,0.23391685019046898,0.0,0.25761753226302925,1.0,0.0,0.15231794896123563,0.0,0.0,0.24873416908154553,0.0,0.24873416908154553,0.11539827279312444,0.03263956049169335,0.15101717408522408,0.0,0.16960013132499205,0.0,0.20875903476486854,0.10879853497231115,0.23079654558624887,0.26274339365451405,0.0,0.0,0.24618298195866548,0.0,0.1305582419667734,0.0,0.11306675421666136,0.0,0.0,0.1570371586342519,0.13078470916554102,0.20875903476486854,0.0,0.0,0.10001183642070785,0.21408720964441885,0.0,0.26650089544451305,0.18216310401573219,0.2154101092138323,0.0,0.16960013132499205,0.24429248749080362,0.17516226243634267,0.0,0.0,0.13599816871538895,0.23096744271857797,0.15231794896123563,0.19099230840190104,0.27538425862599686,0.0,0.30463589792247125,0.0,0.11992540295003087,0.02175970699446223,0.1846372364689991,0.0,0.2447967036877001,0.02175970699446223,0.0,0.07693218186208296,0.17407765595569785,0.0,0.15231794896123563,0.24873416908154553,0.27538425862599686,0.0,0.0,0.15231794896123563,0.0,0.2620592138537712,0.0,0.0,0.24814653845148543,0.16543102563432363,0.18216310401573219,0.0,0.0,0.07615897448061781,0.10770505460691615,0.20875903476486854,0.18210894522041723,0.0,0.0,0.21408720964441885,0.25761753226302925,0.0,0.19462473604038075,0.0,0.0,0.09422229518055114,0.2043173531741267,0.19949035444139024,0.11539827279312444,0.0,0.10678526787129129,0.1776672636296754,0.253012156852495,0.0,0.0,0.03263956049169335,0.2154101092138323,0.14617114553795763,0.0,0.29759266657970623,0.0,0.0,0.08794080883518106,0.22303699669323787,0.31091771135193186,0.2072890493972125,0.0,0.10770505460691615,0.0,0.2620592138537712,0.2092215912434093,0.0,0.1846372364689991,0.0,0.23540912430931987,0.0,0.0,0.0,0.0,0.24873416908154553,0.0,0.25317585067228743,0.0,0.1033586082236956,0.23096744271857797
P009,0.26382242650554316,0.22847692344185344,0.23079654558624887,0.31551575141970234,0.0,0.1570371586342519,0.2763853991962833,0.0,1.0,0.0,0.1305582419667734,0.10770505460691615,0.23391685019046898,0.0,0.31551575141970234,0.0,0.0,0.23391685019046898,0.0,0.0,0.0,0.15231794896123563,0.0,0.0,0.0,0.02175970699446223,0.0,0.0,0.0,0.15231794896123563,0.0,0.0,0.17407765595569785,0.20100756305184242,0.0,0.0,0.0,0.0,0.14687802221262006,0.0,0.0,0.18844459036110228,0.0,0.0,0.0,0.0,0.02175970699446223,0.0,0.0,0.15231794896123563,0.0,0.15231794896123563,0.0,0.2889483718870235,0.0,0.0,0.17407765595569785,0.0,0.20100756305184242,0.0,0.0,0.0,0.17407765595569785,0.0,0.0,0.1305582419667734,0.0,0.0,0.2447967036877001,0.15231794896123563,0.0,0.17407765595569785,0.13078470916554102,0.0,0.0,0.0,0.0,0.16319780245846674,0.0,0.0,0.31551575141970234,0.0,0.17407765595569785,0.14143809546400452,0.0,0.2763853991962833,0.0,0.0,0.15231794896123563,0.17407765595569785,0.0,0.2937560444252401,0.15775787570985117,0.2763853991962833,0.15231794896123563,0.2154101092138323,0.0,0.23079654558624887,0.16863772920708228,0.0,0.23079654558624887,0.0,0.2447967036877001,0.0,0.26382242650554316,0.0,0.0,0.0,0.15231794896123563,0.15231794896123563,0.2889483718870235,0.17407765595569785,0.0,0.0,0.0,0.2154101092138323,0.16863772920708228,0.09422229518055114,0.0,0.15231794896123563,0.0,0.0,0.3263956049169335,0.0,0.0,0.25023663043631567,0.15231794896123563,0.0,0.0,0.10770505460691615,0.15231794896123563,0.0,0.0,0.2763853991962833,0.0,0.23391685019046898
P010,0.15231794896123563,0.0,0.0,0.15231794896123563,0.15231794896123563,0.0,0.15231794896123563,0.15231794896123563,0.0,1.0,0.0,0.0,0.1305582419667734,0.0,0.1305582419667734,0.0,0.02175970699446223,0.15231794896123563,0.0,0.1305582419667734,0.0,0.15231794896123563,0.0,0.17407765595569785,0.15231794896123563,0.0,0.0,0.15231794896123563,0.0,0.15231794896123563,0.0,0.1305582419667734,0.0,0.0,0.15231794896123563,0.0,0.15231794896123563,0.0,0.0,0.1305582419667734,0.1305582419667734,0.0,0.15231794896123563,0.0,0.15231794896123563,0.0,0.1305582419667734,0.15231794896123563,0.15231794896123563,0.0,0.0,0.15231794896123563,0.10879853497231115,0.15231794896123563,0.1305582419667734,0.1305582419667734,0.0,0.15231794896123563,0.0,0.1305582419667734,0.0,0.1305582419667734,0.0,0.15231794896123563,0.0,0.0,0.0,0.15231794896123563,0.0,0.15231794896123563,0.1305582419667734,0.15231794896123563,0.0,0.0,0.15231794896123563,0.0,0.15231794896123563,0.0,0.0,0.10879853497231115,0.15231794896123563,0.0,0.0,0.0,0.08703882797784893,0.15231794896123563,0.15231794896123563,0.15231794896123563,0.0,0.0,0.1305582419667734,0.15231794896123563,0.0,0.1305582419667734,0.0,0.0,0.15231794896123563,0.17407765595569785,0.1305582419667734,0.15231794896123563,0.0,0.0,0.1305582419667734,0.15231794896123563,0.0,0.0,0.02175970699446223,0.17407765595569785,0.15231794896123563,0.0,0.1305582419667734,0.0,0.0,0.0,0.15231794896123563,0.15231794896123563,0.15231794896123563,0.0,0.0,0.0,0.15231794896123563,0.15231794896123563,0.0,0.0,0.0,0.10879853497231115,0.0,0.0,0.0,0.0,0.15231794896123563,0.0,0.17407765595569785,0.0,0.15231794896123563,0.10879853497231115
