posicao,participante_id,pagerank,grau,forca,betweenness,comunidade
1,P015,0.023386642102361375,85,31.4833637999747,0.0718629076838032,1
2,P_TESTE,0.021431452110149435,80,28.651617577626368,0.01990049751243781,1
3,P092,0.02130770272173109,80,27.6409643355738,0.043555371291689696,1
4,P126,0.021302670093287995,78,28.586869487766943,0.032762115349180033,1
5,P099,0.02096356536716038,76,27.72278046868646,0.05485535286530312,1
6,P013,0.020006659807883412,74,26.83602786231364,0.021006080707573246,3
7,P116,0.019790263232733554,76,27.039245917763544,0.015367606412382532,1
8,P081,0.01960225053481666,73,25.908093217435685,0.017468214483139857,1
9,P094,0.019508738416127196,73,26.471145849213876,0.016786438179473003,1
10,P111,0.019476320642724622,74,27.02132413290745,0.012603648424543947,2
11,P007,0.01934568975374364,75,26.10598126532708,0.02418923899023401,1
12,P072,0.017281101801761983,69,23.744233393164063,0.005030403537866225,2
13,P131,0.01717112577496735,65,23.93184007304975,0.005928689883913765,2
14,P018,0.01711285890394854,66,22.832655969243675,0.012935323383084578,1
15,P117,0.016953687458489616,65,21.8662534501949,0.010185185185185186,1
16,P004,0.016931456639293897,69,22.175273715014697,0.009729132117191817,1
17,P005,0.01639298117147207,64,20.80533677881746,0.013156440022111665,2
18,P087,0.016352889455198125,63,22.40264670223994,0.0032200110558319515,2
19,P098,0.01609633643108576,65,21.82707842828942,0.004090657822001105,1
20,P103,0.015588175867861282,62,20.64041393113407,0.010539893126957803,1
21,P001,0.015328440957784783,69,20.223591815219628,0.005435784042749216,1
22,P088,0.015181421702297993,62,20.703136447556005,0.0034779804680302195,2
23,P025,0.01499583191088478,62,20.306091454807465,0.004367053620784964,2
24,P071,0.014953165228815435,60,20.610886571072406,0.003353602358577483,2
25,P056,0.014544772600696575,59,19.952288429711782,0.0025244149622259075,2
26,P041,0.013946477400193046,56,18.95039713548371,0.005288372950064492,2
27,P091,0.013687389391720477,57,18.45432793134568,0.0015478164731896075,2
28,P077,0.013586235454195945,57,18.095646139042316,0.004588170259812051,2
29,P048,0.013520145585726659,57,18.719544315490026,0.001105583195135434,2
30,P133,0.012749710050947133,57,16.926943852346483,0.0015478164731896075,2
31,P121,0.012169446991100575,52,16.6097226750133,0.0006633499170812604,2
32,P043,0.011953926790629238,55,15.673443422146436,0.001193108531416989,2
33,P106,0.011827726474342637,45,15.749330427940594,0.0013266998341625207,1
34,P049,0.011714240572402643,51,15.113390028912896,0.01006080707573245,2
35,P022,0.011518468802705243,52,15.549760039260843,0.0003316749585406302,2
36,P122,0.010793294851932873,51,13.771261594823697,0.001285240464344942,2
37,P044,0.009816102183585623,44,13.064957976161923,0.0,2
38,P066,0.00980158009309942,39,12.555998626636693,0.0002211166390270868,1
39,P002,0.009724359554396426,43,11.92252757664209,0.0008844665561083472,1
40,P104,0.009693719673218389,45,12.169858839237428,5.52791597567717e-05,2
41,P037,0.009659363399601098,44,12.414637041011543,0.0006633499170812604,2
42,P086,0.009596564721022842,46,11.263485595180482,0.010466187580615443,1
43,P055,0.00957421003402485,45,12.209960030096589,0.0017136539524599227,2
