participante_id,comunidade,pagerank,betweenness,grau_intercomunidades,forca_intercomunidades
P015,1,0.0233866421023613,0.0718629076838032,43,15.637306072760502
P099,1,0.0209635653671603,0.0548553528653031,40,13.901235403366902
P092,1,0.021307702721731,0.0435553712916896,43,14.22020839244276
P126,1,0.0213026700932879,0.03276211534918,39,14.333429895471006
P007,1,0.0193456897537436,0.024189238990234,42,13.895208225664586
P013,3,0.0200066598078834,0.0210060807075732,69,25.721963834291202
P_TESTE,1,0.0214314521101494,0.0199004975124378,39,14.232083107676342
P081,1,0.0196022505348166,0.0174682144831398,36,12.209129399949742
P094,1,0.0195087384161271,0.016786438179473,39,13.888320227885803
P116,1,0.0197902632327335,0.0153676064123825,41,14.173154664343434
P005,2,0.016392981171472,0.0131564400221116,27,9.696824212746622
P018,1,0.0171128589039485,0.0129353233830845,29,9.84081651520855
P111,2,0.0194763206427246,0.0126036484245439,38,13.862870218539404
P093,1,0.0050478675274419,0.0119402985074626,4,1.01015839635291
P078,1,0.0069616066939563,0.0119402985074626,3,0.685663241680568
P103,1,0.0155881758678612,0.0105398931269578,30,9.604694476476483
P086,1,0.0095965647210228,0.0104661875806154,20,4.4313866191117475
P117,1,0.0169536874584896,0.0101851851851851,33,10.554593845197612
P049,2,0.0117142405724026,0.0100608070757324,21,6.276554958233501
P004,1,0.0169314566392938,0.0097291321171918,30,8.917941852931069
P131,2,0.0171711257749673,0.0059286898839137,30,11.973653867481437
P001,1,0.0153284409577847,0.0054357840427492,38,11.099280164368473
P041,2,0.013946477400193,0.0052883729500644,21,7.873816083727098
P072,2,0.0172811018017619,0.0050304035378662,29,10.590851638548898
P077,2,0.0135862354541959,0.004588170259812,28,8.901848847184754
P025,2,0.0149958319108847,0.0043670536207849,28,9.982594357144796
P098,1,0.0160963364310857,0.0040906578220011,32,10.49925288963407
P088,2,0.0151814217022979,0.0034779804680302,26,8.966765790097387
P071,2,0.0149531652288154,0.0033536023585774,22,7.9539383124255245
P087,2,0.0163528894551981,0.0032200110558319,28,10.917287513270882
