comunidade,participante_id
1,P001
1,P002
1,P003
1,P004
1,P006
1,P007
1,P009
1,P012
1,P015
1,P018
1,P021
1,P027
1,P030
1,P031
1,P034
1,P039
1,P042
1,P046
1,P051
1,P052
1,P054
1,P059
1,P066
1,P069
1,P070
1,P073
1,P078
1,P081
1,P084
1,P085
1,P086
1,P092
1,P093
1,P094
1,P096
1,P098
1,P099
1,P101
1,P103
1,P105
1,P106
1,P109
1,P112
1,P113
1,P116
1,P117
1,P118
1,P123
1,P126
1,P130
1,P134
2,P005
2,P008
2,P014
2,P016
2,P020
2,P022
2,P025
2,P028
2,P029
2,P032
2,P035
2,P036
2,P037
2,P040
2,P041
2,P043
2,P044
2,P047
2,P048
2,P049
2,P053
2,P055
2,P056
2,P058
2,P060
2,P062
2,P064
2,P071
2,P072
2,P077
2,P079
2,P080
2,P082
2,P087
2,P088
2,P091
2,P097
2,P100
2,P102
2,P104
2,P111
2,P119
2,P121
2,P122
2,P124
2,P128
2,P131
2,P132
2,P133
2,P135
3,P013
3,P024
3,P038
3,P045
3,P067
3,P108
3,P114
3,P115
4,P010
5,P011
6,P017
7,P019
8,P023
9,P026
10,P033
11,P050
12,P057
13,P061
14,P063
15,P065
16,P068
17,P074
18,P075
19,P076
20,P083
21,P089
22,P090
23,P095
24,P107
25,P110
26,P120
27,P125
28,P127
29,P129
