participante_u,participante_v,jogos_comparaveis,total_jogos,sim_media,cobertura,sim_final,cobertura_gamma,cobertura_ajustada
P001,P002,3,33,0.6041666666666666,0.09090909090909091,0.18216310401573219,0.5,0.30151134457776363
P001,P003,2,33,0.9375,0.06060606060606061,0.23079654558624887,0.5,0.24618298195866548
P001,P004,7,33,0.7053571428571429,0.21212121212121213,0.32486364938638596,0.5,0.4605661864718383
P001,P005,5,33,0.4625,0.15151515151515152,0.1800278808373522,0.5,0.3892494720807615
P001,P006,3,33,0.5833333333333334,0.09090909090909091,0.17588161767036212,0.5,0.30151134457776363
P001,P007,9,33,0.8472222222222222,0.2727272727272727,0.4424473755540653,0.5,0.5222329678670935
P001,P008,6,33,0.7395833333333334,0.18181818181818182,0.3153593929426738,0.5,0.4264014327112209
P001,P009,3,33,0.875,0.09090909090909091,0.26382242650554316,0.5,0.30151134457776363
P001,P010,1,33,0.875,0.030303030303030304,0.15231794896123563,0.5,0.17407765595569785
P001,P011,1,33,0.75,0.030303030303030304,0.1305582419667734,0.5,0.17407765595569785
P001,P012,2,33,0.46875,0.06060606060606061,0.11539827279312444,0.5,0.24618298195866548
P001,P013,10,33,0.79375,0.30303030303030304,0.4369449942845243,0.5,0.5504818825631803
P001,P014,0,33,0.0,0.0,0.0,0.5,0.0
P001,P015,10,33,0.84375,0.30303030303030304,0.4644690884126834,0.5,0.5504818825631803
P001,P016,2,33,0.53125,0.06060606060606061,0.13078470916554102,0.5,0.24618298195866548
P001,P017,1,33,0.0625,0.030303030303030304,0.010879853497231116,0.5,0.17407765595569785
P001,P018,10,33,0.5875,0.30303030303030304,0.32340810600586845,0.5,0.5504818825631803
P001,P019,0,33,0.0,0.0,0.0,0.5,0.0
P001,P020,3,33,0.6875,0.09090909090909091,0.2072890493972125,0.5,0.30151134457776363
P001,P021,0,33,0.0,0.0,0.0,0.5,0.0
P001,P022,8,33,0.5625,0.24242424242424243,0.27695585470349865,0.5,0.49236596391733095
P001,P023,1,33,0.875,0.030303030303030304,0.15231794896123563,0.5,0.17407765595569785
P001,P024,2,33,0.9375,0.06060606060606061,0.23079654558624887,0.5,0.24618298195866548
P001,P025,5,33,0.7,0.15151515151515152,0.27247463045653303,0.5,0.3892494720807615
P001,P026,0,33,0.0,0.0,0.0,0.5,0.0
P001,P027,0,33,0.0,0.0,0.0,0.5,0.0
P001,P028,2,33,0.8125,0.06060606060606061,0.2000236728414157,0.5,0.24618298195866548
P001,P029,1,33,0.0625,0.030303030303030304,0.010879853497231116,0.5,0.17407765595569785
P001,P030,2,33,0.875,0.06060606060606061,0.2154101092138323,0.5,0.24618298195866548
P001,P031,0,33,0.0,0.0,0.0,0.5,0.0
P001,P032,3,33,0.3333333333333333,0.09090909090909091,0.10050378152592121,0.5,0.30151134457776363
P001,P033,1,33,1.0,0.030303030303030304,0.17407765595569785,0.5,0.17407765595569785
P001,P034,3,33,0.6875,0.09090909090909091,0.2072890493972125,0.5,0.30151134457776363
P001,P035,4,33,0.640625,0.12121212121212122,0.22303699669323787,0.5,0.3481553119113957
P001,P036,3,33,0.875,0.09090909090909091,0.26382242650554316,0.5,0.30151134457776363
P001,P037,7,33,0.5267857142857143,0.21212121212121213,0.24261968751641483,0.5,0.4605661864718383
P001,P038,0,33,0.0,0.0,0.0,0.5,0.0
P001,P039,3,33,0.6666666666666666,0.09090909090909091,0.20100756305184242,0.5,0.30151134457776363
P001,P040,2,33,0.53125,0.06060606060606061,0.13078470916554102,0.5,0.24618298195866548
P001,P041,6,33,0.7395833333333334,0.18181818181818182,0.3153593929426738,0.5,0.4264014327112209
P001,P042,3,33,0.6458333333333334,0.09090909090909091,0.19472607670647235,0.5,0.30151134457776363
P001,P043,7,33,0.6785714285714286,0.21212121212121213,0.3125270551058903,0.5,0.4605661864718383
P001,P044,4,33,0.671875,0.12121212121212122,0.23391685019046898,0.5,0.3481553119113957
P001,P045,2,33,1.0,0.06060606060606061,0.24618298195866548,0.5,0.24618298195866548
P001,P046,0,33,0.0,0.0,0.0,0.5,0.0
P001,P047,4,33,0.515625,0.12121212121212122,0.17951758270431342,0.5,0.3481553119113957
P001,P048,7,33,0.7678571428571429,0.21212121212121213,0.35364903604087583,0.5,0.4605661864718383
P001,P049,6,33,0.6041666666666666,0.18181818181818182,0.25761753226302925,0.5,0.4264014327112209
P001,P050,1,33,0.875,0.030303030303030304,0.15231794896123563,0.5,0.17407765595569785
P001,P051,0,33,0.0,0.0,0.0,0.5,0.0
P001,P052,5,33,0.6,0.15151515151515152,0.23354968324845687,0.5,0.3892494720807615
P001,P053,7,33,0.7589285714285714,0.21212121212121213,0.3495368379473773,0.5,0.4605661864718383
P001,P054,4,33,0.875,0.12121212121212122,0.30463589792247125,0.5,0.3481553119113957
P001,P055,6,33,0.6041666666666666,0.18181818181818182,0.25761753226302925,0.5,0.4264014327112209
P001,P056,7,33,0.875,0.21212121212121213,0.4029954131628585,0.5,0.4605661864718383
P001,P057,1,33,0.75,0.030303030303030304,0.1305582419667734,0.5,0.17407765595569785
P001,P058,4,33,0.90625,0.12121212121212122,0.31551575141970234,0.5,0.3481553119113957
P001,P059,2,33,0.875,0.06060606060606061,0.2154101092138323,0.5,0.24618298195866548
P001,P060,7,33,0.42857142857142855,0.21212121212121213,0.19738550848793068,0.5,0.4605661864718383
P001,P061,1,33,0.125,0.030303030303030304,0.02175970699446223,0.5,0.17407765595569785
P001,P062,2,33,0.875,0.06060606060606061,0.2154101092138323,0.5,0.24618298195866548
P001,P063,1,33,1.0,0.030303030303030304,0.17407765595569785,0.5,0.17407765595569785
P001,P064,4,33,0.734375,0.12121212121212122,0.2556765571849312,0.5,0.3481553119113957
P001,P065,1,33,0.0625,0.030303030303030304,0.010879853497231116,0.5,0.17407765595569785
P001,P066,2,33,1.0,0.06060606060606061,0.24618298195866548,0.5,0.24618298195866548
P001,P067,2,33,0.46875,0.06060606060606061,0.11539827279312444,0.5,0.24618298195866548
P001,P068,1,33,0.75,0.030303030303030304,0.1305582419667734,0.5,0.17407765595569785
P001,P069,3,33,0.6458333333333334,0.09090909090909091,0.19472607670647235,0.5,0.30151134457776363
P001,P070,2,33,0.875,0.06060606060606061,0.2154101092138323,0.5,0.24618298195866548
P001,P071,7,33,0.7321428571428571,0.21212121212121213,0.33720024366688156,0.5,0.4605661864718383
P001,P072,8,33,0.7265625,0.24242424242424243,0.3577346456586858,0.5,0.49236596391733095
P001,P073,2,33,0.53125,0.06060606060606061,0.13078470916554102,0.5,0.24618298195866548
P001,P074,0,33,0.0,0.0,0.0,0.5,0.0
P001,P075,1,33,0.875,0.030303030303030304,0.15231794896123563,0.5,0.17407765595569785
P001,P076,1,33,0.875,0.030303030303030304,0.15231794896123563,0.5,0.17407765595569785
P001,P077,7,33,0.7232142857142857,0.21212121212121213,0.333088045573383,0.5,0.4605661864718383
P001,P078,3,33,0.6666666666666666,0.09090909090909091,0.20100756305184242,0.5,0.30151134457776363
P001,P079,1,33,0.125,0.030303030303030304,0.02175970699446223,0.5,0.17407765595569785
P001,P080,5,33,0.7625,0.15151515151515152,0.2968027224615806,0.5,0.3892494720807615
P001,P081,9,33,0.6319444444444444,0.2727272727272727,0.3300222227493438,0.5,0.5222329678670935
P001,P082,4,33,0.765625,0.12121212121212122,0.26655641068216235,0.5,0.3481553119113957
P001,P083,1,33,1.0,0.030303030303030304,0.17407765595569785,0.5,0.17407765595569785
P001,P084,3,33,0.5625,0.09090909090909091,0.16960013132499205,0.5,0.30151134457776363
P001,P085,4,33,0.453125,0.12121212121212122,0.15775787570985117,0.5,0.3481553119113957
P001,P086,5,33,0.725,0.15151515151515152,0.28220586725855207,0.5,0.3892494720807615
P001,P087,7,33,0.5803571428571429,0.21212121212121213,0.26729287607740615,0.5,0.4605661864718383
P001,P088,7,33,0.6428571428571429,0.21212121212121213,0.2960782627318961,0.5,0.4605661864718383
P001,P089,1,33,0.875,0.030303030303030304,0.15231794896123563,0.5,0.17407765595569785
P001,P090,1,33,1.0,0.030303030303030304,0.17407765595569785,0.5,0.17407765595569785
P001,P091,6,33,0.7708333333333334,0.18181818181818182,0.32868443771489947,0.5,0.4264014327112209
P001,P092,10,33,0.7625,0.30303030303030304,0.41974243545442497,0.5,0.5504818825631803
P001,P093,4,33,0.296875,0.12121212121212122,0.1033586082236956,0.5,0.3481553119113957
P001,P094,8,33,0.703125,0.24242424242424243,0.3461948183793733,0.5,0.49236596391733095
P001,P095,1,33,0.875,0.030303030303030304,0.15231794896123563,0.5,0.17407765595569785
P001,P096,2,33,0.8125,0.06060606060606061,0.2000236728414157,0.5,0.24618298195866548
P001,P097,3,33,0.3541666666666667,0.09090909090909091,0.10678526787129129,0.5,0.30151134457776363
P001,P098,8,33,0.640625,0.24242424242424243,0.3154219456345401,0.5,0.49236596391733095
P001,P099,9,33,0.6736111111111112,0.2727272727272727,0.35178192974380607,0.5,0.5222329678670935
P001,P100,2,33,0.53125,0.06060606060606061,0.13078470916554102,0.5,0.24618298195866548
P001,P101,2,33,0.875,0.06060606060606061,0.2154101092138323,0.5,0.24618298195866548
P001,P102,3,33,0.4166666666666667,0.09090909090909091,0.1256297269074015,0.5,0.30151134457776363
P001,P103,9,33,0.6111111111111112,0.2727272727272727,0.3191423692521127,0.5,0.5222329678670935
P001,P104,6,33,0.6041666666666666,0.18181818181818182,0.25761753226302925,0.5,0.4264014327112209
P001,P105,3,33,0.875,0.09090909090909091,0.26382242650554316,0.5,0.30151134457776363
P001,P106,1,33,0.125,0.030303030303030304,0.02175970699446223,0.5,0.17407765595569785
P001,P107,1,33,0.0625,0.030303030303030304,0.010879853497231116,0.5,0.17407765595569785
P001,P108,2,33,0.875,0.06060606060606061,0.2154101092138323,0.5,0.24618298195866548
P001,P109,3,33,0.6041666666666666,0.09090909090909091,0.18216310401573219,0.5,0.30151134457776363
P001,P110,1,33,0.875,0.030303030303030304,0.15231794896123563,0.5,0.17407765595569785
P001,P111,10,33,0.8875,0.30303030303030304,0.4885526707748225,0.5,0.5504818825631803
P001,P112,1,33,1.0,0.030303030303030304,0.17407765595569785,0.5,0.17407765595569785
P001,P113,0,33,0.0,0.0,0.0,0.5,0.0
P001,P114,3,33,0.3541666666666667,0.09090909090909091,0.10678526787129129,0.5,0.30151134457776363
P001,P115,4,33,0.65625,0.12121212121212122,0.22847692344185344,0.5,0.3481553119113957
P001,P116,9,33,0.6458333333333334,0.2727272727272727,0.33727545841416456,0.5,0.5222329678670935
P001,P117,7,33,0.6517857142857143,0.21212121212121213,0.3001904608253946,0.5,0.4605661864718383
P001,P118,3,33,0.3541666666666667,0.09090909090909091,0.10678526787129129,0.5,0.30151134457776363
P001,P119,2,33,0.53125,0.06060606060606061,0.13078470916554102,0.5,0.24618298195866548
P001,P120,1,33,0.875,0.030303030303030304,0.15231794896123563,0.5,0.17407765595569785
P001,P121,7,33,0.7321428571428571,0.21212121212121213,0.33720024366688156,0.5,0.4605661864718383
P001,P122,5,33,0.7625,0.15151515151515152,0.2968027224615806,0.5,0.3892494720807615
P001,P123,3,33,0.875,0.09090909090909091,0.26382242650554316,0.5,0.30151134457776363
P001,P124,3,33,0.6458333333333334,0.09090909090909091,0.19472607670647235,0.5,0.30151134457776363
P001,P125,0,33,0.0,0.0,0.0,0.5,0.0
P001,P126,10,33,0.7625,0.30303030303030304,0.41974243545442497,0.5,0.5504818825631803
P001,P127,1,33,0.875,0.030303030303030304,0.15231794896123563,0.5,0.17407765595569785
P001,P128,0,33,0.0,0.0,0.0,0.5,0.0
P001,P129,0,33,0.0,0.0,0.0,0.5,0.0
P001,P130,2,33,0.375,0.06060606060606061,0.09231861823449955,0.5,0.24618298195866548
P001,P131,8,33,0.7890625,0.24242424242424243,0.38850751840351894,0.5,0.49236596391733095
P001,P132,1,33,0.1875,0.030303030303030304,0.03263956049169335,0.5,0.17407765595569785
P001,P133,7,33,0.4732142857142857,0.21212121212121213,0.21794649895542345,0.5,0.4605661864718383
P001,P134,3,33,0.875,0.09090909090909091,0.26382242650554316,0.5,0.30151134457776363
P001,P135,4,33,0.46875,0.12121212121212122,0.16319780245846674,0.5,0.3481553119113957
P002,P003,2,33,0.875,0.06060606060606061,0.2154101092138323,0.5,0.24618298195866548
P002,P004,12,33,0.5260416666666666,0.36363636363636365,0.3172150604411888,0.5,0.6030226891555273
P002,P005,8,33,0.7109375,0.24242424242424243,0.35004142747247746,0.5,0.49236596391733095
P002,P006,3,33,0.6041666666666666,0.09090909090909091,0.18216310401573219,0.5,0.30151134457776363
P002,P007,10,33,0.5,0.30303030303030304,0.27524094128159016,0.5,0.5504818825631803
P002,P008,0,33,0.0,0.0,0.0,0.5,0.0
P002,P009,4,33,0.65625,0.12121212121212122,0.22847692344185344,0.5,0.3481553119113957
P002,P010,0,33,0.0,0.0,0.0,0.5,0.0
P002,P011,1,33,0.875,0.030303030303030304,0.15231794896123563,0.5,0.17407765595569785
P002,P012,2,33,0.9375,0.06060606060606061,0.23079654558624887,0.5,0.24618298195866548
P002,P013,12,33,0.5364583333333334,0.36363636363636365,0.3234965467865589,0.5,0.6030226891555273
P002,P014,4,33,0.421875,0.12121212121212122,0.14687802221262006,0.5,0.3481553119113957
P002,P015,12,33,0.5416666666666666,0.36363636363636365,0.3266372899592439,0.5,0.6030226891555273
P002,P016,0,33,0.0,0.0,0.0,0.5,0.0
P002,P017,0,33,0.0,0.0,0.0,0.5,0.0
P002,P018,11,33,0.5625,0.3333333333333333,0.3247595264191645,0.5,0.5773502691896257
P002,P019,0,33,0.0,0.0,0.0,0.5,0.0
P002,P020,0,33,0.0,0.0,0.0,0.5,0.0
P002,P021,0,33,0.0,0.0,0.0,0.5,0.0
P002,P022,2,33,0.75,0.06060606060606061,0.1846372364689991,0.5,0.24618298195866548
P002,P023,0,33,0.0,0.0,0.0,0.5,0.0
P002,P024,0,33,0.0,0.0,0.0,0.5,0.0
P002,P025,5,33,0.5,0.15151515151515152,0.19462473604038075,0.5,0.3892494720807615
P002,P026,1,33,0.1875,0.030303030303030304,0.03263956049169335,0.5,0.17407765595569785
P002,P027,2,33,0.46875,0.06060606060606061,0.11539827279312444,0.5,0.24618298195866548
P002,P028,0,33,0.0,0.0,0.0,0.5,0.0
P002,P029,0,33,0.0,0.0,0.0,0.5,0.0
P002,P030,2,33,0.875,0.06060606060606061,0.2154101092138323,0.5,0.24618298195866548
P002,P031,2,33,0.5625,0.06060606060606061,0.13847792735174932,0.5,0.24618298195866548
