participante_id,qtd_cliques
P001,210
P002,36
P003,19
P004,212
P005,169
P006,1
P007,355
P008,23
P009,23
P010,0
P011,0
P012,2
P013,363
P014,1
P015,434
P016,1
P017,0
P018,180
P019,0
P020,30
P021,2
P022,164
P023,0
P024,3
P025,214
P026,0
P027,1
P028,4
P029,2
P030,22
P031,5
P032,2
P033,0
P034,12
P035,55
P036,58
P037,78
P038,1
P039,1
P040,5
P041,263
P042,5
P043,128
P044,80
P045,3
P046,6
P047,6
P048,282
P049,119
P050,0
P051,5
P052,7
P053,43
P054,28
P055,92
P056,298
P057,0
P058,11
P059,31
P060,33
P061,0
P062,46
P063,0
P064,23
P065,0
P066,29
P067,2
P068,0
P069,2
P070,4
P071,267
P072,338
P073,1
P074,0
P075,0
P076,0
P077,114
P078,7
P079,7
P080,82
P081,315
P082,56
P083,0
P084,7
P085,6
P086,59
P087,277
P088,279
P089,0
P090,0
P091,243
P092,365
P093,4
P094,334
P095,0
P096,2
P097,2
P098,233
P099,319
P100,9
P101,7
P102,3
P103,176
P104,50
P105,19
P106,43
P107,0
P108,2
P109,4
P110,0
P111,397
P112,1
P113,2
P114,2
P115,3
P116,345
P117,206
P118,1
P119,3
P120,0
P121,224
P122,142
P123,13
P124,19
P125,0
P126,394
P127,0
P128,2
P129,0
P130,1
P131,347
P132,2
P133,160
P134,14
P135,4
