posicao,participante_id,pagerank,grau,forca,betweenness,comunidade
1,P015,0.024065221383973084,84,30.84482669051941,0.07356076759061833,1
2,P126,0.0219826378891422,77,27.778822562394478,0.042176336363296305,1
3,P092,0.02190067807400521,79,27.089412041239363,0.0448836643848427,1
4,P099,0.021527545188688012,75,27.108006853708424,0.056578012194665774,1
5,P013,0.02055592471061767,73,26.287786873497424,0.02339804735719897,3
6,P116,0.020361305661686473,75,26.502923211312897,0.016496465043205028,1
7,P081,0.02014840267642072,72,25.392012356701617,0.019077544607788127,1
8,P094,0.0200227966178056,72,25.922781140795994,0.017712190925073878,1
9,P111,0.019985877783933972,73,26.43214762280619,0.013410391650768714,2
10,P007,0.019868182987953065,74,25.587844305546263,0.024328545243706277,1
11,P072,0.017699170355451946,68,23.216482979513128,0.004993827853215128,2
12,P131,0.017657420434266945,64,23.472126028407963,0.006354505667152958,2
13,P018,0.017608427782346617,65,22.33507999993035,0.013578722926719786,1
14,P117,0.017537000584347658,64,21.364343430441068,0.010787229267197846,1
15,P004,0.017464109489607773,68,21.76238737260034,0.00993154528111323,1
16,P005,0.016776386651298943,63,20.343575007540235,0.013242060374817642,2
17,P087,0.01676761547399014,62,21.876099191243938,0.0038295365278868815,2
18,P098,0.016520561959285397,64,21.34059144961519,0.004152171473459769,1
19,P103,0.016013898115799487,61,20.192184338942727,0.010586166909811843,1
20,P001,0.015763386520617487,68,19.81761142682928,0.005517525156174017,1
21,P088,0.015574909504354478,61,20.267742356293983,0.0035302809261960875,2
22,P025,0.015366897670633364,61,19.85248040223821,0.004432723600044888,2
23,P071,0.01528625461534403,59,20.122091670786556,0.0035162533198668314,2
24,P056,0.014852755827282774,58,19.45506603114514,0.002618486514794449,2
25,P041,0.014267975898171782,55,18.5121672248826,0.00536789735532862,2
26,P091,0.013996547227844928,56,18.03857134949335,0.0015710919088766694,2
27,P077,0.01389834123624123,56,17.64705828743902,0.004769386151947032,2
28,P048,0.013871385747517277,56,18.332811815543163,0.0011222085063404782,2
29,P133,0.01308026231749304,56,16.58654483554163,0.0015710919088766694,2
30,P121,0.012460899104236147,51,16.21744397847527,0.0006733251038042869,2
31,P043,0.012209903414113361,54,15.308749174948328,0.0012110500130924323,2
32,P106,0.012086968902600512,44,15.297994961016373,0.0013466502076085738,1
33,P049,0.01197008432257814,50,14.767862599400484,0.010099876557064303,2
34,P022,0.011726695850918904,51,15.103774508739567,0.00033666255190214345,2
35,P122,0.011046649174972252,50,13.498786964367165,0.0013045673886208059,2
36,P044,0.009964083619733555,43,12.62644453954805,0.0,2
37,P002,0.009951033827257729,42,11.614170046506722,0.0008977668050723825,1
38,P066,0.009949460178996086,38,12.139075799852453,0.00022444170126809562,1
39,P037,0.009887059502489562,43,12.148924701214046,0.0006733251038042869,2
40,P104,0.009853729037953653,44,11.825330145158443,5.6110425317023906e-05,2
41,P086,0.00981116257571484,45,10.995876583124959,0.010511353009389145,1
42,P055,0.009779217604775008,44,11.939017453061334,0.0017394231848277411,2
43,P059,0.009728562276584633,41,11.987482211544393,0.0,1
44,P080,0.009500046142564984,45,11.769878572863258,0.00013092432573972242,2
45,P053,0.008838258344592155,39,10.472625420916964,0.0007855459544383347,2
46,P082,0.00838720620572314,37,10.51768706075286,0.0,2
47,P060,0.008161878116241549,35,9.975299960388345,0.00022444170126809562,2
48,P036,0.008095389864071378,37,10.0878823134291,0.0,2
49,P124,0.007995470488822657,37,9.91341425605284,0.0,2
50,P035,0.007856235642051408,38,9.730407365434248,0.0,2
51,P008,0.007784402472116149,37,9.092642058144733,0.00044888340253619125,2
52,P054,0.007316134058020978,32,8.199130139488457,0.00039277297721916735,1
53,P078,0.007015748487029125,23,6.423782919853159,0.012007631017843115,1
54,P030,0.006796704142227087,34,7.95003812582325,0.0,1
55,P064,0.006613577068938257,32,7.744993990148209,0.0,2
56,P009,0.0065021292123970615,26,6.739147740096151,0.0005611042531702391,1
57,P062,0.006477599487414461,34,7.600899567973794,0.0,2
58,P058,0.006272979975619193,29,7.049820389402109,0.00011222085063404781,2
59,P123,0.006094797377278007,24,6.1873978211132,0.00011222085063404781,1
60,P020,0.006078913143954036,27,6.826164897800424,0.0,2
61,P134,0.005931310860789097,24,5.95262486109077,0.0005611042531702391,1
62,P105,0.005884271704440801,24,5.815130823949449,0.0,1
63,P046,0.005559460560336188,24,6.028117475801348,0.0,1
64,P100,0.00554067195117855,24,5.231388366621639,0.00013092432573972242,2
65,P047,0.005401662491209999,23,5.85149747791466,0.00022444170126809562,2
66,P052,0.005339101256447665,24,5.805542768063005,0.0,1
67,P040,0.0052236356989500046,22,4.877500330056059,0.0005236973029588897,2
68,P093,0.0051987448691063936,15,3.8328544257720987,0.012007631017843115,1
69,P132,0.0050908606279230564,21,5.4048553102501335,0.0,2
70,P084,0.0049966379528699235,17,4.579045161089113,0.0,1
71,P031,0.004978773094111146,22,5.22813744900764,0.0,1
72,P003,0.0048604975105452745,20,4.554385166235312,0.0,1
73,P101,0.0048483927440495555,21,4.662090220842227,0.0,1
74,P079,0.004751719525388516,21,5.125894799118711,0.0,2
75,P070,0.004578293338290593,22,4.677476657214643,0.0,1
76,P135,0.004420777938906906,16,3.6119874921824584,0.001795533610144765,2
77,P034,0.00436812220581362,16,3.630285672920692,0.00011222085063404781,1
78,P069,0.004351263292266965,10,2.3408568864785435,0.012007631017843115,1
79,P109,0.00428317509315986,17,3.8736740050520817,0.0010099876557064303,1
80,P051,0.004109311377474634,15,3.7248416196012895,0.0,1
81,P096,0.004052372895428474,18,3.8312226567317316,0.0,1
82,P115,0.003973086115723266,14,3.233448499251712,0.0,3
83,P045,0.0038963838570963342,15,3.431175311048899,0.0,3
84,P028,0.0038878884191177955,18,3.8158362203593157,0.0,2
85,P024,0.0038421851838477605,15,3.338856692814401,0.0,3
86,P042,0.003714578197277442,11,2.641268853015914,0.0,1
87,P108,0.0036091163110570637,14,3.0311279653660685,0.0,3
88,P128,0.0034128510964707617,14,3.1080601472281515,0.0,2
89,P102,0.0032716796201398383,12,2.7369172869645038,0.0,2
90,P021,0.003183719629910153,12,2.5849213105659876,0.0,1
91,P119,0.0030859173497466974,11,2.477216255959071,0.0,2
92,P085,0.003076584699648152,12,2.571831735237799,0.0,1
93,P113,0.003031341626745667,10,2.357618077263834,0.0,1
94,P097,0.0026958938091866448,6,1.3343703619505287,0.0,2
95,P032,0.0026883773152503792,6,1.286592603640835,0.0,2
96,P012,0.002578953298083426,6,1.4336050255124155,0.0,1
97,P029,0.00253698115935575,7,1.7489224288775902,0.0,2
98,P114,0.002432435436434163,6,1.2463013461657442,0.0,3
99,P027,0.0024276963058331665,7,1.6466051057477826,0.0,1
100,P067,0.002327664910645239,5,1.0462776733243284,0.00011222085063404781,3
101,P039,0.002249075273665556,6,1.3136853128033121,0.0,1
102,P038,0.0017964627807971231,3,0.6906009704272427,0.0,3
103,P016,0.001790845278194209,3,0.67700320038633,0.0,2
104,P073,0.0017177266271047552,1,0.24618298195866548,0.0,1
105,P112,0.0016341517406849087,2,0.44620665480008115,0.0,1
106,P006,0.0016157579952924233,2,0.414578098794425,0.0,1
107,P118,0.001560372465146267,1,0.20100756305184242,0.0,1
108,P130,0.0015143069518282698,1,0.2000236728414157,0.0,1
109,P014,0.001500192094120584,1,0.2447967036877001,0.0,2
110,P010,0.0013286099021077656,0,0.0,0.0,4
111,P011,0.0013286099021077656,0,0.0,0.0,5
112,P017,0.0013286099021077656,0,0.0,0.0,6
113,P019,0.0013286099021077656,0,0.0,0.0,7
114,P023,0.0013286099021077656,0,0.0,0.0,8
115,P026,0.0013286099021077656,0,0.0,0.0,9
116,P033,0.0013286099021077656,0,0.0,0.0,10
117,P050,0.0013286099021077656,0,0.0,0.0,11
118,P057,0.0013286099021077656,0,0.0,0.0,12
119,P061,0.0013286099021077656,0,0.0,0.0,13
120,P063,0.0013286099021077656,0,0.0,0.0,14
121,P065,0.0013286099021077656,0,0.0,0.0,15
122,P068,0.0013286099021077656,0,0.0,0.0,16
123,P074,0.0013286099021077656,0,0.0,0.0,17
124,P075,0.0013286099021077656,0,0.0,0.0,18
125,P076,0.0013286099021077656,0,0.0,0.0,19
126,P083,0.0013286099021077656,0,0.0,0.0,20
127,P089,0.0013286099021077656,0,0.0,0.0,21
128,P090,0.0013286099021077656,0,0.0,0.0,22
129,P095,0.0013286099021077656,0,0.0,0.0,23
130,P107,0.0013286099021077656,0,0.0,0.0,24
131,P110,0.0013286099021077656,0,0.0,0.0,25
132,P120,0.0013286099021077656,0,0.0,0.0,26
133,P125,0.0013286099021077656,0,0.0,0.0,27
134,P127,0.0013286099021077656,0,0.0,0.0,28
135,P129,0.0013286099021077656,0,0.0,0.0,29
