clique,tamanho,participantes
1,22,P005;P007;P013;P015;P018;P041;P048;P056;P072;P077;P081;P087;P088;P092;P094;P098;P099;P103;P111;P116;P126;P131
2,22,P005;P007;P013;P015;P041;P048;P056;P071;P072;P077;P081;P087;P088;P092;P094;P098;P099;P103;P111;P116;P126;P131
3,21,P005;P007;P013;P015;P018;P025;P072;P077;P081;P087;P088;P091;P094;P098;P099;P103;P111;P116;P117;P126;P131
4,21,P005;P007;P013;P015;P018;P025;P072;P077;P081;P087;P088;P092;P094;P098;P099;P103;P111;P116;P117;P126;P131
5,21,P005;P007;P013;P015;P018;P025;P072;P081;P087;P088;P092;P094;P098;P099;P103;P106;P111;P116;P117;P126;P131
6,21,P005;P007;P013;P015;P018;P041;P072;P077;P081;P087;P088;P091;P094;P098;P099;P103;P111;P116;P117;P126;P131
7,21,P005;P007;P013;P015;P018;P041;P072;P077;P081;P087;P088;P092;P094;P098;P099;P103;P111;P116;P117;P126;P131
8,21,P005;P007;P013;P015;P018;P041;P072;P081;P087;P088;P092;P094;P098;P099;P103;P106;P111;P116;P117;P126;P131
9,21,P005;P007;P013;P015;P048;P049;P056;P071;P072;P077;P081;P087;P088;P092;P098;P099;P103;P111;P116;P126;P131
10,20,P004;P005;P007;P013;P015;P018;P025;P081;P087;P092;P094;P098;P099;P103;P106;P111;P116;P117;P126;P131
11,19,P005;P007;P013;P015;P018;P041;P066;P081;P087;P088;P094;P099;P103;P106;P111;P116;P117;P126;P131
12,19,P005;P007;P013;P015;P018;P072;P077;P081;P087;P088;P092;P094;P099;P111;P116;P117;P126;P131;P133
13,19,P007;P013;P015;P018;P041;P048;P056;P072;P077;P087;P088;P092;P098;P103;P111;P116;P121;P126;P131
14,19,P007;P013;P015;P041;P048;P056;P071;P072;P077;P087;P088;P092;P098;P103;P111;P116;P121;P126;P131
15,18,P004;P005;P007;P013;P015;P018;P066;P081;P087;P094;P099;P103;P106;P111;P116;P117;P126;P131
16,18,P005;P007;P013;P015;P049;P071;P072;P077;P081;P087;P088;P092;P099;P111;P116;P126;P131;P133
17,18,P005;P007;P013;P015;P071;P072;P077;P081;P087;P088;P092;P094;P099;P111;P116;P126;P131;P133
18,12,P013;P022;P048;P071;P072;P081;P087;P092;P094;P099;P111;P126
19,9,P004;P007;P013;P018;P059;P081;P103;P116;P131
20,7,P001;P007;P013;P015;P092;P111;P126
21,6,P013;P043;P072;P092;P111;P116
22,5,P013;P037;P048;P056;P126
23,5,P018;P048;P060;P121;P131
24,4,P002;P092;P103;P126
25,3,P004;P078;P099
26,3,P037;P048;P060
27,3,P044;P071;P126
28,2,P041;P053
29,2,P084;P099
