comunidade,participante_id
1,P002
1,P004
1,P005
1,P007
1,P015
1,P018
1,P025
1,P059
1,P066
1,P078
1,P081
1,P084
1,P087
1,P091
1,P092
1,P094
1,P098
1,P099
1,P103
1,P106
1,P116
1,P117
1,P126
1,P131
2,P001
2,P013
2,P022
2,P037
2,P041
2,P043
2,P044
2,P048
2,P049
2,P053
2,P056
2,P060
2,P071
2,P072
2,P077
2,P088
2,P111
2,P121
2,P133
3,P003
4,P006
5,P008
6,P009
7,P010
8,P011
9,P012
10,P014
11,P016
12,P017
13,P019
14,P020
15,P021
16,P023
17,P024
18,P026
19,P027
20,P028
21,P029
22,P030
23,P031
24,P032
25,P033
26,P034
27,P035
28,P036
29,P038
30,P039
31,P040
32,P042
33,P045
34,P046
35,P047
36,P050
37,P051
38,P052
39,P054
40,P055
41,P057
42,P058
43,P061
44,P062
45,P063
46,P064
47,P065
48,P067
49,P068
50,P069
51,P070
52,P073
53,P074
54,P075
55,P076
56,P079
57,P080
58,P082
59,P083
60,P085
61,P086
62,P089
63,P090
64,P093
65,P095
66,P096
67,P097
68,P100
69,P101
70,P102
71,P104
72,P105
73,P107
74,P108
75,P109
76,P110
77,P112
78,P113
79,P114
80,P115
81,P118
82,P119
83,P120
84,P122
85,P123
86,P124
87,P125
88,P127
89,P128
90,P129
91,P130
92,P132
93,P134
94,P135
