participante_id,grau,forca,centralidade_grau,betweenness,agrupamento_local,pagerank,componente,comunidade
P001,6,1.4583333333333333,0.04477611940298507,0.0,0.4639777739260108,0.005569393483152957,1,2
P002,3,0.6893939393939394,0.022388059701492536,0.0,0.4432502823185804,0.004055447728847745,1,1
P003,0,0.0,0.0,0.0,0.0,0.0026416109721166003,2,3
P004,22,7.4109848484848495,0.16417910447761194,0.00022444170126809562,0.4487674549103358,0.018891103317625182,1,1
P005,30,8.490530303030301,0.22388059701492538,0.0,0.39364669727919616,0.020092255339777133,1,1
P006,0,0.0,0.0,0.0,0.0,0.0026416109721166003,3,4
P007,33,11.598484848484848,0.2462686567164179,0.00016833127595107172,0.40383764873219874,0.026941015180623046,1,1
P008,0,0.0,0.0,0.0,0.0,0.0026416109721166003,4,5
P009,0,0.0,0.0,0.0,0.0,0.0026416109721166003,5,6
P010,0,0.0,0.0,0.0,0.0,0.0026416109721166003,6,7
P011,0,0.0,0.0,0.0,0.0,0.0026416109721166003,7,8
P012,0,0.0,0.0,0.0,0.0,0.0026416109721166003,8,9
P013,36,13.212121212121211,0.26865671641791045,0.006059925934238582,0.367820608387719,0.03128339441485935,1,2
P014,0,0.0,0.0,0.0,0.0,0.0026416109721166003,9,10
P015,32,13.721590909090907,0.23880597014925373,0.00819212209628549,0.4798578846120675,0.031192228118030442,1,1
P016,0,0.0,0.0,0.0,0.0,0.0026416109721166003,10,11
P017,0,0.0,0.0,0.0,0.0,0.0026416109721166003,11,12
P018,31,10.861742424242424,0.23134328358208955,0.0032544046683873865,0.41055636447249677,0.025646918236715395,1,1
P019,0,0.0,0.0,0.0,0.0,0.0026416109721166003,12,13
P020,0,0.0,0.0,0.0,0.0,0.0026416109721166003,13,14
P021,0,0.0,0.0,0.0,0.0,0.0026416109721166003,14,15
P022,11,2.471590909090909,0.08208955223880597,0.0,0.40013111511748256,0.007714198855701186,1,2
P023,0,0.0,0.0,0.0,0.0,0.0026416109721166003,15,16
P024,0,0.0,0.0,0.0,0.0,0.0026416109721166003,16,17
P025,23,5.863636363636363,0.17164179104477612,0.0,0.4191330861851889,0.014496846553432821,1,1
P026,0,0.0,0.0,0.0,0.0,0.0026416109721166003,17,18
P027,0,0.0,0.0,0.0,0.0,0.0026416109721166003,18,19
P028,0,0.0,0.0,0.0,0.0,0.0026416109721166003,19,20
P029,0,0.0,0.0,0.0,0.0,0.0026416109721166003,20,21
P030,0,0.0,0.0,0.0,0.0,0.0026416109721166003,21,22
P031,0,0.0,0.0,0.0,0.0,0.0026416109721166003,22,23
P032,0,0.0,0.0,0.0,0.0,0.0026416109721166003,23,24
P033,0,0.0,0.0,0.0,0.0,0.0026416109721166003,24,25
P034,0,0.0,0.0,0.0,0.0,0.0026416109721166003,25,26
P035,0,0.0,0.0,0.0,0.0,0.0026416109721166003,26,27
P036,0,0.0,0.0,0.0,0.0,0.0026416109721166003,27,28
P037,5,1.0757575757575757,0.03731343283582089,0.0,0.24986670635479635,0.005404199406165756,1,2
P038,0,0.0,0.0,0.0,0.0,0.0026416109721166003,28,29
P039,0,0.0,0.0,0.0,0.0,0.0026416109721166003,29,30
P040,0,0.0,0.0,0.0,0.0,0.0026416109721166003,30,31
P041,28,7.517045454545454,0.208955223880597,0.00460105487599596,0.3714401611788854,0.02022837403950758,1,2
P042,0,0.0,0.0,0.0,0.0,0.0026416109721166003,31,32
P043,5,1.1174242424242424,0.03731343283582089,0.0,0.4131319670840388,0.004889425368549782,1,2
P044,2,0.43181818181818177,0.014925373134328358,0.0,0.3753488297863705,0.0035655793037461985,1,2
P045,0,0.0,0.0,0.0,0.0,0.0026416109721166003,32,33
P046,0,0.0,0.0,0.0,0.0,0.0026416109721166003,33,34
P047,0,0.0,0.0,0.0,0.0,0.0026416109721166003,34,35
P048,27,6.929924242424242,0.20149253731343283,0.0005611042531702391,0.34240067218448456,0.017929532968918513,1,2
P049,21,5.013257575757576,0.15671641791044777,0.0,0.39571277635423235,0.012871632702785603,1,2
P050,0,0.0,0.0,0.0,0.0,0.0026416109721166003,35,36
P051,0,0.0,0.0,0.0,0.0,0.0026416109721166003,36,37
P052,0,0.0,0.0,0.0,0.0,0.0026416109721166003,37,38
P053,1,0.2196969696969697,0.007462686567164179,0.0,0.0,0.0031441173361634422,1,2
P054,0,0.0,0.0,0.0,0.0,0.0026416109721166003,38,39
P055,0,0.0,0.0,0.0,0.0,0.0026416109721166003,39,40
P056,25,6.518939393939394,0.18656716417910446,0.0,0.38549327074995093,0.016497604716404154,1,2
P057,0,0.0,0.0,0.0,0.0,0.0026416109721166003,40,41
P058,0,0.0,0.0,0.0,0.0,0.0026416109721166003,41,42
P059,8,1.7784090909090906,0.05970149253731343,0.0,0.4215919534318709,0.006219508765208138,1,1
P060,5,1.0965909090909092,0.03731343283582089,0.0,0.24853745347928333,0.0054565338114445725,1,2
P061,0,0.0,0.0,0.0,0.0,0.0026416109721166003,42,43
P062,0,0.0,0.0,0.0,0.0,0.0026416109721166003,43,44
P063,0,0.0,0.0,0.0,0.0,0.0026416109721166003,44,45
P064,0,0.0,0.0,0.0,0.0,0.0026416109721166003,45,46
P065,0,0.0,0.0,0.0,0.0,0.0026416109721166003,46,47
P066,19,4.778409090909092,0.1417910447761194,0.0,0.4265525460569464,0.012330951540751572,1,1
P067,0,0.0,0.0,0.0,0.0,0.0026416109721166003,47,48
P068,0,0.0,0.0,0.0,0.0,0.0026416109721166003,48,49
P069,0,0.0,0.0,0.0,0.0,0.0026416109721166003,49,50
P070,0,0.0,0.0,0.0,0.0,0.0026416109721166003,50,51
P071,26,7.257575757575758,0.19402985074626866,0.00022444170126809562,0.375827537209658,0.018746281703956095,1,2
P072,31,9.42234848484848,0.23134328358208955,0.0,0.3817304338909175,0.022497746106605564,1,2
P073,0,0.0,0.0,0.0,0.0,0.0026416109721166003,51,52
P074,0,0.0,0.0,0.0,0.0,0.0026416109721166003,52,53
P075,0,0.0,0.0,0.0,0.0,0.0026416109721166003,53,54
P076,0,0.0,0.0,0.0,0.0,0.0026416109721166003,54,55
P077,28,7.503787878787878,0.208955223880597,0.0,0.3916876156768468,0.018069744750205344,1,2
P078,2,0.4071969696969697,0.014925373134328358,0.0,0.3854383411568082,0.0035231071342023174,1,1
P079,0,0.0,0.0,0.0,0.0,0.0026416109721166003,55,56
P080,0,0.0,0.0,0.0,0.0,0.0026416109721166003,56,57
P081,32,11.928030303030305,0.23880597014925373,0.0010099876557064303,0.432342555016672,0.02745492477085635,1,1
P082,0,0.0,0.0,0.0,0.0,0.0026416109721166003,57,58
P083,0,0.0,0.0,0.0,0.0,0.0026416109721166003,58,59
P084,1,0.20454545454545456,0.007462686567164179,0.0,0.0,0.0030840327583611746,1,1
P085,0,0.0,0.0,0.0,0.0,0.0026416109721166003,59,60
P086,0,0.0,0.0,0.0,0.0,0.0026416109721166003,60,61
P087,32,10.68560606060606,0.23880597014925373,5.6110425317023906e-05,0.41152836505745605,0.024798269312753744,1,1
P088,30,8.664772727272728,0.22388059701492538,0.0,0.3941482211879955,0.02053093651245281,1,2
P089,0,0.0,0.0,0.0,0.0,0.0026416109721166003,61,62
P090,0,0.0,0.0,0.0,0.0,0.0026416109721166003,62,63
P091,21,5.2272727272727275,0.15671641791044777,0.0,0.4200602589283656,0.013206212601357837,1,1
P092,33,11.962121212121213,0.2462686567164179,0.004432723600044888,0.3879367954840938,0.02876444380030312,1,1
P093,0,0.0,0.0,0.0,0.0,0.0026416109721166003,63,64
P094,30,11.204545454545457,0.22388059701492538,0.00011222085063404781,0.46116424636892506,0.025739043428632553,1,1
P095,0,0.0,0.0,0.0,0.0,0.0026416109721166003,64,65
P096,0,0.0,0.0,0.0,0.0,0.0026416109721166003,65,66
P097,0,0.0,0.0,0.0,0.0,0.0026416109721166003,66,67
P098,29,9.606060606060607,0.21641791044776118,0.0,0.4433191662951548,0.022384455478637922,1,1
P099,33,12.02840909090909,0.2462686567164179,0.008977668050723826,0.39938575164117496,0.030609644911131665,1,1
P100,0,0.0,0.0,0.0,0.0,0.0026416109721166003,67,68
P101,0,0.0,0.0,0.0,0.0,0.0026416109721166003,68,69
P102,0,0.0,0.0,0.0,0.0,0.0026416109721166003,69,70
P103,32,10.34090909090909,0.23880597014925373,0.00011222085063404781,0.3868649484352761,0.02469355936238617,1,1
P104,0,0.0,0.0,0.0,0.0,0.0026416109721166003,70,71
P105,0,0.0,0.0,0.0,0.0,0.0026416109721166003,71,72
P106,23,6.602272727272727,0.17164179104477612,0.0,0.44964276454698265,0.016068065177611508,1,1
P107,0,0.0,0.0,0.0,0.0,0.0026416109721166003,72,73
P108,0,0.0,0.0,0.0,0.0,0.0026416109721166003,73,74
P109,0,0.0,0.0,0.0,0.0,0.0026416109721166003,74,75
P110,0,0.0,0.0,0.0,0.0,0.0026416109721166003,75,76
P111,34,11.448863636363637,0.2537313432835821,0.0015710919088766694,0.37752185253056497,0.02704888021591142,1,2
P112,0,0.0,0.0,0.0,0.0,0.0026416109721166003,76,77
P113,0,0.0,0.0,0.0,0.0,0.0026416109721166003,77,78
P114,0,0.0,0.0,0.0,0.0,0.0026416109721166003,78,79
P115,0,0.0,0.0,0.0,0.0,0.0026416109721166003,79,80
P116,33,12.551136363636365,0.2462686567164179,0.0014588710582426215,0.42616771845661905,0.02897027944407116,1,1
P117,26,8.84090909090909,0.19402985074626866,0.0,0.47440423960507166,0.020689775401372627,1,1
P118,0,0.0,0.0,0.0,0.0,0.0026416109721166003,80,81
P119,0,0.0,0.0,0.0,0.0,0.0026416109721166003,81,82
P120,0,0.0,0.0,0.0,0.0,0.0026416109721166003,82,83
P121,20,4.907196969696971,0.14925373134328357,0.0,0.3750551536883691,0.013128489638677958,1,2
P122,0,0.0,0.0,0.0,0.0,0.0026416109721166003,83,84
P123,0,0.0,0.0,0.0,0.0,0.0026416109721166003,84,85
P124,0,0.0,0.0,0.0,0.0,0.0026416109721166003,85,86
P125,0,0.0,0.0,0.0,0.0,0.0026416109721166003,86,87
P126,36,13.081439393939396,0.26865671641791045,0.008809336774772754,0.3615156750683058,0.032059528182669376,1,1
P127,0,0.0,0.0,0.0,0.0,0.0026416109721166003,87,88
P128,0,0.0,0.0,0.0,0.0,0.0026416109721166003,88,89
P129,0,0.0,0.0,0.0,0.0,0.0026416109721166003,89,90
P130,0,0.0,0.0,0.0,0.0,0.0026416109721166003,90,91
P131,33,11.58901515151515,0.2462686567164179,0.001683312759510717,0.40335044010615134,0.02714807344179609,1,1
P132,0,0.0,0.0,0.0,0.0,0.0026416109721166003,91,92
P133,20,5.28030303030303,0.14925373134328357,0.0,0.43111926103081755,0.01333603524290883,1,2
P134,0,0.0,0.0,0.0,0.0,0.0026416109721166003,92,93
P135,0,0.0,0.0,0.0,0.0,0.0026416109721166003,93,94
