participante_id,qtd_cliques
P001,1
P002,1
P003,0
P004,4
P005,15
P006,0
P007,19
P008,0
P009,0
P010,0
P011,0
P012,0
P013,22
P014,0
P015,18
P016,0
P017,0
P018,14
P019,0
P020,0
P021,0
P022,1
P023,0
P024,0
P025,4
P026,0
P027,0
P028,0
P029,0
P030,0
P031,0
P032,0
P033,0
P034,0
P035,0
P036,0
P037,2
P038,0
P039,0
P040,0
P041,9
P042,0
P043,1
P044,1
P045,0
P046,0
P047,0
P048,9
P049,2
P050,0
P051,0
P052,0
P053,1
P054,0
P055,0
P056,6
P057,0
P058,0
P059,1
P060,2
P061,0
P062,0
P063,0
P064,0
P065,0
P066,2
P067,0
P068,0
P069,0
P070,0
P071,7
P072,16
P073,0
P074,0
P075,0
P076,0
P077,12
P078,1
P079,0
P080,0
P081,17
P082,0
P083,0
P084,1
P085,0
P086,0
P087,18
P088,15
P089,0
P090,0
P091,2
P092,17
P093,0
P094,14
P095,0
P096,0
P097,0
P098,12
P099,18
P100,0
P101,0
P102,0
P103,16
P104,0
P105,0
P106,5
P107,0
P108,0
P109,0
P110,0
P111,20
P112,0
P113,0
P114,0
P115,0
P116,19
P117,10
P118,0
P119,0
P120,0
P121,3
P122,0
P123,0
P124,0
P125,0
P126,22
P127,0
P128,0
P129,0
P130,0
P131,19
P132,0
P133,3
P134,0
P135,0
